 Simulation_Period = 20090901 -- 20170831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon            TOTout_C            TOTinp_C           POMinp1_C           POMinp2_C            DOMinp_C           POMdec1_C           POMdec2_C       POMdec2DOM1_C       POMdec2DOM2_C       POMdec2MOM1_C       POMdec2MOM2_C            MOMdec_C           MOM2DOM_C           QOM2DOM_C           DOM2QOM_C        DOM2QOMnet_C           DOM2MBA_C     MBA_mortality_C           MBA2EP1_C           MBA2EP2_C            MBA2EM_C            MBA_PM_C           EP2DOM1_C           EP2DOM2_C            EM2DOM_C           MBA2DOM_C           MBA2POM_C           MBA2MBD_C           MBD2MBA_C             CO2_gmo              CO2_gm          CO2_growth          CO2_maintn          CO2_ovflow      CO2_maintn_MBA      CO2_maintn_MBD      CO2_ovflow_MBA      CO2_ovflow_MBD           Nmine_dep             NH4_dep             NO3_dep             Nmn_net                 Nmn             Nmn_MBA             Nmn_MBD                 Nim             Nim_NH4             Nim_NO3              Nitrif            DENitrif            TOTout_N            TOTinp_N           POMinp1_N           POMinp2_N            DOMinp_N           POMdec1_N           POMdec2_N       POMdec2DOM1_N       POMdec2DOM2_N       POMdec2MOM1_N       POMdec2MOM2_N            MOMdec_N           MOM2DOM_N           QOM2DOM_N           DOM2QOM_N        DOM2QOMnet_N           DOM2MBA_N     MBA_mortality_N           MBA2EP1_N           MBA2EP2_N            MBA2EM_N            MBA_PM_N           EP2DOM1_N           EP2DOM2_N            EM2DOM_N           MBA2DOM_N           MBA2POM_N           MBA2MBD_N           MBD2MBA_N                                                                                                                                                                                                                                                                                                                                                                                                                                    
    200909        0.134059E-03        0.942781E-04        0.659946E-05        0.348829E-04        0.527957E-04        0.130522E-05        0.121240E-04        0.117289E-05        0.108948E-04        0.132326E-06        0.122915E-05        0.110012E-05        0.110012E-05        0.500378E-04        0.515784E-04        0.154031E-05        0.176661E-03        0.404971E-04        0.746100E-08        0.970337E-09        0.250205E-07        0.405305E-04        0.595357E-08        0.564215E-08        0.678737E-08        0.404649E-04        0.321251E-07        0.212148E-05        0.249999E-07        0.134059E-03        0.134059E-03        0.127869E-03        0.619005E-05        0.000000E+00        0.605093E-05        0.139117E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    200910        0.459602E-04        0.506426E-04        0.354498E-05        0.187377E-04        0.283598E-04        0.126942E-05        0.148596E-04        0.114073E-05        0.133531E-04        0.128697E-06        0.150650E-05        0.123480E-05        0.123480E-05        0.176380E-04        0.159392E-04       -0.169875E-05        0.626769E-04        0.167334E-04        0.190981E-08        0.297822E-09        0.655128E-08        0.167421E-04        0.579422E-08        0.522647E-08        0.734249E-08        0.167201E-04        0.132741E-07        0.550469E-06        0.253326E-07        0.459602E-04        0.459602E-04        0.432854E-04        0.267485E-05        0.000000E+00        0.252306E-05        0.151789E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    200911        0.324531E-04        0.218570E-04        0.152999E-05        0.808710E-05        0.122399E-04        0.123094E-05        0.142168E-04        0.110615E-05        0.127755E-04        0.124796E-06        0.144133E-05        0.128961E-05        0.128961E-05        0.943877E-05        0.572284E-05       -0.371593E-05        0.443177E-04        0.136056E-04        0.268844E-08        0.413296E-09        0.920457E-08        0.136179E-04        0.552524E-08        0.483039E-08        0.744621E-08        0.135948E-04        0.107929E-07        0.570924E-06        0.344285E-07        0.324531E-04        0.324531E-04        0.303796E-04        0.207342E-05        0.000000E+00        0.191836E-05        0.155063E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    200912        0.163323E-05        0.495946E-05        0.347162E-06        0.183500E-05        0.277730E-05        0.109435E-05        0.129437E-04        0.983403E-06        0.116314E-04        0.110948E-06        0.131226E-05        0.124406E-05        0.124406E-05        0.160527E-04        0.309888E-04        0.149361E-04        0.204510E-05        0.115368E-05        0.643884E-10        0.921493E-11        0.218422E-09        0.115397E-05        0.516427E-08        0.444880E-08        0.714897E-08        0.115276E-05        0.915180E-09        0.195576E-07        0.235112E-08        0.163323E-05        0.163323E-05        0.136485E-05        0.268385E-06        0.000000E+00        0.111952E-06        0.156433E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201001        0.159132E-06        0.436748E-05        0.305723E-06        0.161597E-05        0.244578E-05        0.986894E-06        0.101215E-04        0.886841E-06        0.909535E-05        0.100054E-06        0.102614E-05        0.111977E-05        0.111977E-05        0.339741E-04        0.469487E-04        0.129747E-04        0.607118E-08        0.318779E-08        0.162620E-12        0.189462E-13        0.538809E-12        0.318851E-08        0.473538E-08        0.407887E-08        0.655654E-08        0.318526E-08        0.252878E-11        0.283062E-10        0.160251E-08        0.159132E-06        0.159132E-06        0.403961E-08        0.155093E-06        0.000000E+00        0.341341E-09        0.154751E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201002        0.462076E-06        0.370268E-05        0.259188E-06        0.136999E-05        0.207350E-05        0.977746E-06        0.884475E-05        0.878620E-06        0.794805E-05        0.991262E-07        0.896701E-06        0.111787E-05        0.111787E-05        0.485547E-04        0.593920E-04        0.108373E-04        0.427514E-06        0.641059E-07        0.104932E-10        0.104647E-11        0.342446E-10        0.641518E-07        0.435969E-08        0.375516E-08        0.603662E-08        0.640551E-07        0.508534E-10        0.487691E-09        0.415357E-07        0.462076E-06        0.462076E-06        0.286229E-06        0.175847E-06        0.000000E+00        0.227982E-07        0.153049E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201003        0.433436E-04        0.279743E-04        0.195820E-05        0.103505E-04        0.156656E-04        0.929624E-06        0.690343E-05        0.835376E-06        0.620355E-05        0.942474E-07        0.699886E-06        0.105707E-05        0.105707E-05        0.480228E-04        0.206021E-04       -0.274207E-04        0.561157E-04        0.216169E-05        0.500427E-08        0.495187E-09        0.163199E-07        0.218351E-05        0.413486E-08        0.346930E-08        0.595134E-08        0.215997E-05        0.171480E-08        0.841785E-07        0.339569E-06        0.433436E-04        0.433436E-04        0.404656E-04        0.287801E-05        0.000000E+00        0.272812E-05        0.149888E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201004        0.942531E-04        0.127772E-03        0.894406E-05        0.472757E-04        0.715525E-04        0.102443E-05        0.780886E-05        0.920567E-06        0.701718E-05        0.103859E-06        0.791680E-06        0.136042E-05        0.136042E-05        0.132819E-04        0.000000E+00       -0.132819E-04        0.969462E-04        0.288978E-05        0.117466E-07        0.153545E-08        0.394152E-07        0.294247E-05        0.457232E-08        0.327234E-08        0.802588E-08        0.288749E-05        0.229238E-08        0.151863E-06        0.606558E-06        0.942531E-04        0.942531E-04        0.890012E-04        0.525195E-05        0.000000E+00        0.510857E-05        0.143386E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201005        0.133860E-03        0.206978E-03        0.144885E-04        0.765819E-04        0.115908E-03        0.116532E-05        0.122301E-04        0.104718E-05        0.109902E-04        0.118143E-06        0.123991E-05        0.173942E-05        0.173942E-05        0.264611E-05        0.000000E+00       -0.264611E-05        0.146329E-03        0.140016E-04        0.106650E-07        0.239153E-08        0.387461E-07        0.140534E-04        0.511459E-08        0.316345E-08        0.105608E-07        0.139905E-04        0.111071E-07        0.772183E-06        0.152248E-06        0.133860E-03        0.133860E-03        0.127243E-03        0.661652E-05        0.000000E+00        0.647166E-05        0.144863E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201006        0.125843E-03        0.190558E-03        0.133390E-04        0.705064E-04        0.106712E-03        0.129287E-05        0.155870E-04        0.116179E-05        0.140067E-04        0.131074E-06        0.158024E-05        0.201176E-05        0.201176E-05        0.460417E-06        0.000000E+00       -0.460417E-06        0.132441E-03        0.802365E-05        0.961469E-08        0.313092E-08        0.378233E-07        0.807421E-05        0.553920E-08        0.313702E-08        0.128895E-07        0.801728E-05        0.636492E-08        0.590665E-06        0.167641E-06        0.125843E-03        0.125843E-03        0.120929E-03        0.491430E-05        0.000000E+00        0.476695E-05        0.147357E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201007        0.122134E-03        0.182570E-03        0.127799E-04        0.675509E-04        0.102239E-03        0.137657E-05        0.193316E-04        0.123701E-05        0.173717E-04        0.139560E-06        0.195989E-05        0.229171E-05        0.229171E-05        0.571226E-07        0.164960E-07       -0.406265E-07        0.155255E-03        0.321485E-04        0.777535E-08        0.309854E-08        0.322689E-07        0.321917E-04        0.579146E-08        0.313601E-08        0.146877E-07        0.321230E-04        0.255024E-07        0.230536E-05        0.362759E-07        0.122134E-03        0.122134E-03        0.117369E-03        0.476508E-05        0.000000E+00        0.460645E-05        0.158634E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201008        0.950863E-04        0.132708E-03        0.928958E-05        0.491021E-04        0.743167E-04        0.143408E-05        0.217599E-04        0.128869E-05        0.195539E-04        0.145391E-06        0.220607E-05        0.245795E-05        0.245795E-05        0.103344E-06        0.142503E-06        0.391590E-07        0.124390E-03        0.266989E-04        0.671618E-08        0.311804E-08        0.291836E-07        0.267379E-04        0.590334E-08        0.313267E-08        0.159917E-07        0.266778E-04        0.211795E-07        0.212691E-05        0.462121E-07        0.950863E-04        0.950863E-04        0.915992E-04        0.348713E-05        0.000000E+00        0.330174E-05        0.185389E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201009        0.880989E-04        0.112104E-03        0.784729E-05        0.414785E-04        0.627782E-04        0.147223E-05        0.258363E-04        0.132297E-05        0.232170E-04        0.149258E-06        0.261935E-05        0.275854E-05        0.275854E-05        0.514586E-07        0.000000E+00       -0.514586E-07        0.919650E-04        0.181094E-05        0.834282E-08        0.408013E-08        0.368658E-07        0.186023E-05        0.603105E-08        0.316887E-08        0.173646E-07        0.180950E-05        0.143656E-08        0.128960E-06        0.799664E-06        0.880989E-04        0.880989E-04        0.842703E-04        0.382862E-05        0.000000E+00        0.363926E-05        0.189357E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201010        0.784395E-04        0.795259E-04        0.556681E-05        0.294245E-04        0.445345E-04        0.150218E-05        0.311595E-04        0.134989E-05        0.280005E-04        0.152295E-06        0.315902E-05        0.311648E-05        0.311648E-05        0.177435E-05        0.570580E-05        0.393145E-05        0.100232E-03        0.275138E-04        0.468915E-08        0.233989E-08        0.208591E-07        0.275417E-04        0.612939E-08        0.320284E-08        0.185708E-07        0.274920E-04        0.218259E-07        0.123647E-05        0.716486E-07        0.784395E-04        0.784395E-04        0.740756E-04        0.436391E-05        0.000000E+00        0.417463E-05        0.189277E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201011        0.447345E-04        0.217030E-04        0.151921E-05        0.803011E-05        0.121537E-04        0.146450E-05        0.316041E-04        0.131603E-05        0.284000E-04        0.148475E-06        0.320410E-05        0.318492E-05        0.318492E-05        0.601438E-05        0.706813E-05        0.105374E-05        0.612337E-04        0.174094E-04        0.217709E-08        0.103802E-08        0.954100E-08        0.174221E-04        0.585813E-08        0.305386E-08        0.180709E-07        0.173955E-04        0.138103E-07        0.636168E-06        0.437582E-07        0.447345E-04        0.447345E-04        0.417467E-04        0.298780E-05        0.000000E+00        0.279115E-05        0.196650E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
