 Data_Period = 20090901 -- 20170831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
       Mon        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
    200909        0.283000E-03        0.226280E+02        0.810800E-01       -0.296018E-01        0.640000E+01
    200910        0.283000E-03        0.231861E+02        0.803903E-01       -0.301330E-01        0.640000E+01
    200911        0.283000E-03        0.229733E+02        0.840267E-01       -0.276101E-01        0.640000E+01
    200912        0.279258E-03        0.236397E+02        0.858419E-01       -0.263053E-01        0.640000E+01
    201001        0.225000E-03        0.246823E+02        0.850258E-01       -0.268288E-01        0.640000E+01
    201002        0.225000E-03        0.253132E+02        0.843679E-01       -0.272621E-01        0.640000E+01
    201003        0.225000E-03        0.259561E+02        0.837129E-01       -0.277049E-01        0.640000E+01
    201004        0.225000E-03        0.246680E+02        0.829400E-01       -0.282417E-01        0.640000E+01
    201005        0.225000E-03        0.236448E+02        0.821548E-01       -0.288030E-01        0.640000E+01
    201006        0.225000E-03        0.227500E+02        0.815000E-01       -0.292860E-01        0.640000E+01
    201007        0.182419E-03        0.214719E+02        0.807742E-01       -0.298357E-01        0.640000E+01
    201008        0.165000E-03        0.218365E+02        0.800355E-01       -0.304124E-01        0.640000E+01
    201009        0.165000E-03        0.220380E+02        0.792800E-01       -0.310214E-01        0.640000E+01
    201010        0.165000E-03        0.222397E+02        0.786097E-01       -0.315769E-01        0.640000E+01
    201011        0.165000E-03        0.227260E+02        0.779200E-01       -0.321650E-01        0.640000E+01
    201012        0.165000E-03        0.232761E+02        0.770871E-01       -0.328991E-01        0.640000E+01
    201101        0.188484E-03        0.229768E+02        0.764290E-01       -0.334996E-01        0.640000E+01
    201102        0.217000E-03        0.211021E+02        0.757143E-01       -0.341704E-01        0.640000E+01
    201103        0.217000E-03        0.200271E+02        0.750774E-01       -0.347860E-01        0.640000E+01
    201104        0.217000E-03        0.200220E+02        0.742600E-01       -0.356027E-01        0.640000E+01
    201105        0.217000E-03        0.213194E+02        0.735742E-01       -0.363125E-01        0.640000E+01
    201106        0.217000E-03        0.210433E+02        0.729000E-01       -0.370330E-01        0.640000E+01
    201107        0.212548E-03        0.198319E+02        0.721290E-01       -0.378842E-01        0.640000E+01
    201108        0.171000E-03        0.211642E+02        0.714065E-01       -0.387115E-01        0.640000E+01
    201109        0.171000E-03        0.208267E+02        0.706800E-01       -0.395731E-01        0.640000E+01
    201110        0.171000E-03        0.191184E+02        0.700290E-01       -0.403703E-01        0.640000E+01
    201111        0.171000E-03        0.186277E+02        0.692200E-01       -0.413997E-01        0.640000E+01
    201112        0.171000E-03        0.186535E+02        0.684677E-01       -0.423953E-01        0.640000E+01
    201201        0.171000E-03        0.180774E+02        0.677935E-01       -0.433196E-01        0.640000E+01
    201202        0.129621E-03        0.189103E+02        0.671034E-01       -0.442999E-01        0.640000E+01
    201203        0.121000E-03        0.160984E+02        0.662871E-01       -0.455081E-01        0.640000E+01
    201204        0.121000E-03        0.152673E+02        0.663333E-01       -0.454463E-01        0.640000E+01
    201205        0.121000E-03        0.158597E+02        0.676097E-01       -0.435850E-01        0.640000E+01
    201206        0.121000E-03        0.172467E+02        0.689400E-01       -0.417699E-01        0.640000E+01
    201207        0.121000E-03        0.170881E+02        0.704194E-01       -0.398942E-01        0.640000E+01
    201208        0.114290E-03        0.163790E+02        0.717161E-01       -0.383585E-01        0.640000E+01
    201209        0.108000E-03        0.158993E+02        0.730067E-01       -0.369215E-01        0.640000E+01
    201210        0.108000E-03        0.158535E+02        0.744129E-01       -0.354521E-01        0.640000E+01
    201211        0.108000E-03        0.179383E+02        0.757667E-01       -0.341231E-01        0.640000E+01
    201212        0.108000E-03        0.187416E+02        0.770387E-01       -0.329474E-01        0.640000E+01
    201301        0.108000E-03        0.175561E+02        0.784194E-01       -0.317407E-01        0.640000E+01
    201302        0.100679E-03        0.155407E+02        0.797964E-01       -0.306050E-01        0.640000E+01
    201303        0.670000E-04        0.159174E+02        0.810871E-01       -0.295994E-01        0.640000E+01
    201304        0.670000E-04        0.159900E+02        0.823600E-01       -0.286578E-01        0.640000E+01
    201305        0.670000E-04        0.153326E+02        0.836419E-01       -0.277548E-01        0.640000E+01
    201306        0.670000E-04        0.159277E+02        0.851333E-01       -0.267602E-01        0.640000E+01
    201307        0.670000E-04        0.160497E+02        0.863968E-01       -0.259618E-01        0.640000E+01
    201308        0.670000E-04        0.147987E+02        0.877452E-01       -0.251483E-01        0.640000E+01
    201309        0.760000E-04        0.148850E+02        0.891100E-01       -0.243646E-01        0.640000E+01
    201310        0.770000E-04        0.152597E+02        0.905226E-01       -0.235934E-01        0.640000E+01
    201311        0.770000E-04        0.154793E+02        0.917867E-01       -0.229353E-01        0.640000E+01
    201312        0.770000E-04        0.158558E+02        0.930419E-01       -0.223072E-01        0.640000E+01
    201401        0.770000E-04        0.170584E+02        0.945774E-01       -0.215761E-01        0.640000E+01
    201402        0.770000E-04        0.178836E+02        0.950000E-01       -0.213827E-01        0.640000E+01
    201403        0.649355E-04        0.180019E+02        0.933871E-01       -0.221413E-01        0.640000E+01
    201404        0.550000E-04        0.173607E+02        0.918033E-01       -0.229262E-01        0.640000E+01
    201405        0.550000E-04        0.169529E+02        0.899903E-01       -0.238807E-01        0.640000E+01
    201406        0.550000E-04        0.172860E+02        0.883800E-01       -0.247810E-01        0.640000E+01
    201407        0.550000E-04        0.177710E+02        0.868032E-01       -0.257134E-01        0.640000E+01
    201408        0.550000E-04        0.167884E+02        0.851258E-01       -0.267675E-01        0.640000E+01
    201409        0.507333E-04        0.137340E+02        0.833533E-01       -0.279555E-01        0.640000E+01
    201410        0.390000E-04        0.125281E+02        0.817710E-01       -0.290900E-01        0.640000E+01
    201411        0.390000E-04        0.126630E+02        0.801900E-01       -0.302951E-01        0.640000E+01
    201412        0.390000E-04        0.147232E+02        0.784581E-01       -0.317102E-01        0.640000E+01
    201501        0.390000E-04        0.150032E+02        0.767387E-01       -0.332210E-01        0.640000E+01
    201502        0.390000E-04        0.141125E+02        0.752036E-01       -0.346702E-01        0.640000E+01
    201503        0.390000E-04        0.133610E+02        0.736774E-01       -0.362111E-01        0.640000E+01
    201504        0.222000E-04        0.121533E+02        0.719133E-01       -0.381353E-01        0.640000E+01
    201505        0.210000E-04        0.118745E+02        0.702387E-01       -0.401205E-01        0.640000E+01
    201506        0.210000E-04        0.131337E+02        0.686633E-01       -0.421442E-01        0.640000E+01
    201507        0.210000E-04        0.133832E+02        0.670935E-01       -0.443237E-01        0.640000E+01
    201508        0.210000E-04        0.111242E+02        0.652065E-01       -0.472023E-01        0.640000E+01
    201509        0.210000E-04        0.103430E+02        0.636367E-01       -0.498409E-01        0.640000E+01
    201510        0.106774E-04        0.894258E+01        0.620613E-01       -0.527309E-01        0.640000E+01
    201511        0.500000E-05        0.725800E+01        0.603867E-01       -0.561139E-01        0.640000E+01
    201512        0.500000E-05        0.776258E+01        0.586226E-01       -0.600831E-01        0.640000E+01
    201601        0.500000E-05        0.821613E+01        0.575968E-01       -0.625777E-01        0.640000E+01
    201602        0.500000E-05        0.792517E+01        0.574276E-01       -0.630094E-01        0.640000E+01
    201603        0.500000E-05        0.539516E+01        0.571935E-01       -0.636165E-01        0.640000E+01
    201604        0.866667E-05        0.455000E+01        0.569333E-01       -0.643017E-01        0.640000E+01
    201605        0.160000E-04        0.660000E+01        0.567452E-01       -0.648045E-01        0.640000E+01
    201606        0.160000E-04        0.995300E+01        0.565467E-01       -0.653423E-01        0.640000E+01
    201607        0.160000E-04        0.897387E+01        0.562677E-01       -0.661104E-01        0.640000E+01
    201608        0.160000E-04        0.626452E+01        0.560581E-01       -0.666973E-01        0.640000E+01
    201609        0.160000E-04        0.735600E+01        0.558733E-01       -0.672226E-01        0.640000E+01
    201610        0.160645E-04        0.808968E+01        0.556194E-01       -0.679546E-01        0.640000E+01
    201611        0.170000E-04        0.776867E+01        0.553733E-01       -0.686759E-01        0.640000E+01
    201612        0.170000E-04        0.814806E+01        0.552032E-01       -0.691828E-01        0.640000E+01
    201701        0.170000E-04        0.105248E+02        0.549581E-01       -0.699235E-01        0.640000E+01
    201702        0.170000E-04        0.115907E+02        0.547000E-01       -0.707176E-01        0.640000E+01
    201703        0.170000E-04        0.638452E+01        0.544710E-01       -0.714347E-01        0.640000E+01
    201704        0.170000E-04        0.497000E+01        0.543000E-01       -0.719785E-01        0.640000E+01
    201705        0.493548E-05        0.475484E+01        0.540581E-01       -0.727586E-01        0.640000E+01
    201706        0.000000E+00        0.512600E+01        0.538000E-01       -0.736055E-01        0.640000E+01
    201707        0.000000E+00        0.635677E+01        0.536290E-01       -0.741768E-01        0.640000E+01
    201708        0.000000E+00        0.707419E+01        0.533839E-01       -0.750082E-01        0.640000E+01
