 Simulation_Period = 20090901 -- 20170831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon                fINP                 VP1                 VP2                  VM                 KP1                 KP2                  KM                Qmax                 Kba                Kdes                Kads                rEP1                rEP2                 rEM                 pEP                 pEM                  fD                  gD                  Vg               alpha                  Vm                  KD                  Yg                 Q10               gamma               rMORT                beta             Vm_dorm               VmA2D               VmD2A             SWP_A2D                 tau             SWP_D2A               wdorm             VNup_MB          VNup_PLANT            KsNH4_MB            KsNO3_MB         KsNH4_PLANT         KsNO3_PLANT                Vnit              Vdenit                 YgN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
    200909        0.440000E+00        0.702369E+01        0.517007E+02        0.299758E+02        0.111297E+03        0.111297E+02        0.111297E+04        0.250000E+01        0.600000E+01        0.644032E-02        0.366357E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.337972E-01        0.499851E-01        0.161062E-02        0.625455E-03        0.263915E+00        0.139388E+01        0.144440E+02        0.943098E-02        0.972940E-02        0.145990E-04        0.694509E-03        0.917838E-05        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.592451E-01        0.000000E+00        0.111297E-03        0.111297E-03        0.000000E+00        0.000000E+00        0.160081E-01        0.000000E+00        0.100000E+01
    200910        0.440000E+00        0.553964E+01        0.459827E+02        0.247002E+02        0.884244E+02        0.884244E+01        0.884244E+03        0.250000E+01        0.600000E+01        0.552418E-02        0.352561E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.235778E-01        0.499851E-01        0.138151E-02        0.496919E-03        0.269472E+00        0.139388E+01        0.144440E+02        0.121047E-01        0.972940E-02        0.145990E-04        0.776700E-03        0.550783E-05        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.413308E-01        0.000000E+00        0.884244E-04        0.884244E-04        0.000000E+00        0.000000E+00        0.101561E-01        0.000000E+00        0.100000E+01
    200911        0.440000E+00        0.515078E+01        0.445696E+02        0.232772E+02        0.809436E+02        0.809436E+01        0.809436E+03        0.250000E+01        0.600000E+01        0.520649E-02        0.347338E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.205518E-01        0.499851E-01        0.130206E-02        0.454879E-03        0.271577E+00        0.139388E+01        0.144440E+02        0.813770E-02        0.972940E-02        0.145990E-04        0.475784E-03        0.136008E-04        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.360264E-01        0.000000E+00        0.809436E-04        0.809436E-04        0.000000E+00        0.000000E+00        0.104569E-01        0.125705E-03        0.100000E+01
    200912        0.440000E+00        0.352099E+01        0.356256E+02        0.167706E+02        0.580676E+02        0.580676E+01        0.580676E+03        0.250000E+01        0.600000E+01        0.417219E-02        0.328627E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.122163E-01        0.499851E-01        0.104340E-02        0.326322E-03        0.279132E+00        0.139388E+01        0.144440E+02        0.201912E-01        0.972940E-02        0.145990E-04        0.971291E-03        0.308829E-06        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.214145E-01        0.000000E+00        0.580676E-04        0.580676E-04        0.000000E+00        0.000000E+00        0.350250E-02        0.000000E+00        0.100000E+01
    201001        0.440000E+00        0.350595E+01        0.350350E+02        0.165725E+02        0.588620E+02        0.588620E+01        0.588620E+03        0.250000E+01        0.600000E+01        0.420044E-02        0.328894E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.125931E-01        0.499851E-01        0.105046E-02        0.330787E-03        0.279027E+00        0.139388E+01        0.144440E+02        0.207437E-01        0.972940E-02        0.145990E-04        0.100594E-02        0.184698E-06        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.220751E-01        0.000000E+00        0.588620E-04        0.588620E-04        0.000000E+00        0.000000E+00        0.326769E-02        0.000000E+00        0.100000E+01
    201002        0.440000E+00        0.382267E+01        0.385090E+02        0.182526E+02        0.593481E+02        0.593481E+01        0.593481E+03        0.250000E+01        0.600000E+01        0.423316E-02        0.329816E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.126421E-01        0.499851E-01        0.105865E-02        0.333519E-03        0.278651E+00        0.139388E+01        0.144440E+02        0.123741E-01        0.972940E-02        0.145990E-04        0.596556E-03        0.468294E-05        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.221610E-01        0.000000E+00        0.593481E-04        0.593481E-04        0.000000E+00        0.000000E+00        0.550017E-02        0.110951E-05        0.100000E+01
    201003        0.440000E+00        0.482196E+01        0.432902E+02        0.220545E+02        0.748772E+02        0.748772E+01        0.748772E+03        0.250000E+01        0.600000E+01        0.494095E-02        0.342765E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.182185E-01        0.499851E-01        0.123565E-02        0.420787E-03        0.273422E+00        0.139388E+01        0.144440E+02        0.127414E-02        0.972940E-02        0.145990E-04        0.715878E-04        0.145695E-03        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.319362E-01        0.000000E+00        0.748772E-04        0.748772E-04        0.000000E+00        0.000000E+00        0.137295E-01        0.250324E-02        0.100000E+01
    201004        0.440000E+00        0.580662E+01        0.472775E+02        0.256536E+02        0.911609E+02        0.911609E+01        0.911609E+03        0.250000E+01        0.600000E+01        0.563682E-02        0.354325E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.247422E-01        0.499851E-01        0.140968E-02        0.512297E-03        0.268761E+00        0.139388E+01        0.144440E+02        0.335033E-03        0.972940E-02        0.145990E-04        0.217747E-04        0.431931E-03        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.433719E-01        0.000000E+00        0.911609E-04        0.911609E-04        0.000000E+00        0.000000E+00        0.216665E-01        0.620884E-02        0.100000E+01
    201005        0.440000E+00        0.659700E+01        0.501720E+02        0.284411E+02        0.103925E+03        0.103925E+02        0.103925E+04        0.250000E+01        0.600000E+01        0.614744E-02        0.362003E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.304609E-01        0.499851E-01        0.153738E-02        0.584029E-03        0.265668E+00        0.139388E+01        0.144440E+02        0.183793E-02        0.972940E-02        0.145990E-04        0.127720E-03        0.777628E-04        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.533967E-01        0.000000E+00        0.103925E-03        0.103925E-03        0.000000E+00        0.000000E+00        0.206333E-01        0.254840E-02        0.100000E+01
    201006        0.440000E+00        0.877756E+01        0.574696E+02        0.358882E+02        0.138221E+03        0.138222E+02        0.138221E+04        0.250000E+01        0.600000E+01        0.744298E-02        0.379888E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.474070E-01        0.499851E-01        0.186137E-02        0.776763E-03        0.258469E+00        0.139388E+01        0.144440E+02        0.133275E-02        0.972940E-02        0.145990E-04        0.114642E-03        0.112350E-03        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.831023E-01        0.000000E+00        0.138221E-03        0.138221E-03        0.000000E+00        0.000000E+00        0.331626E-01        0.470061E-02        0.100000E+01
    201007        0.440000E+00        0.877415E+01        0.574619E+02        0.358780E+02        0.138174E+03        0.138174E+02        0.138174E+04        0.250000E+01        0.600000E+01        0.744160E-02        0.379876E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.473737E-01        0.499851E-01        0.186103E-02        0.776498E-03        0.258473E+00        0.139388E+01        0.144440E+02        0.629929E-02        0.972940E-02        0.145990E-04        0.545731E-03        0.215550E-04        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.830440E-01        0.000000E+00        0.138174E-03        0.138174E-03        0.000000E+00        0.000000E+00        0.248346E-01        0.302687E-03        0.100000E+01
    201008        0.440000E+00        0.971298E+01        0.602617E+02        0.389563E+02        0.152377E+03        0.152377E+02        0.152377E+04        0.250000E+01        0.600000E+01        0.794099E-02        0.386054E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.552817E-01        0.499851E-01        0.198592E-02        0.856316E-03        0.255987E+00        0.139388E+01        0.144440E+02        0.617009E-02        0.972940E-02        0.145990E-04        0.571412E-03        0.312178E-04        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.969065E-01        0.000000E+00        0.152377E-03        0.152377E-03        0.000000E+00        0.000000E+00        0.295282E-01        0.859503E-03        0.100000E+01
    201009        0.440000E+00        0.795841E+01        0.548350E+02        0.331294E+02        0.125496E+03        0.125496E+02        0.125496E+04        0.250000E+01        0.600000E+01        0.697421E-02        0.373663E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.408544E-01        0.499851E-01        0.174414E-02        0.705251E-03        0.260974E+00        0.139388E+01        0.144440E+02        0.294514E-03        0.972940E-02        0.145990E-04        0.237851E-04        0.533588E-03        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.716160E-01        0.000000E+00        0.125496E-03        0.125496E-03        0.000000E+00        0.000000E+00        0.359801E-01        0.103325E-01        0.100000E+01
    201010        0.440000E+00        0.583804E+01        0.473294E+02        0.257950E+02        0.924280E+02        0.924280E+01        0.924280E+03        0.250000E+01        0.600000E+01        0.568981E-02        0.355174E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.252667E-01        0.499851E-01        0.142293E-02        0.519418E-03        0.268419E+00        0.139388E+01        0.144440E+02        0.846003E-02        0.972940E-02        0.145990E-04        0.553531E-03        0.312789E-04        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.442914E-01        0.000000E+00        0.924280E-04        0.924280E-04        0.000000E+00        0.000000E+00        0.131091E-01        0.704845E-03        0.100000E+01
    201011        0.440000E+00        0.494329E+01        0.438054E+02        0.225089E+02        0.769204E+02        0.769204E+01        0.769204E+03        0.250000E+01        0.600000E+01        0.503039E-02        0.344309E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.190064E-01        0.499851E-01        0.125802E-02        0.432270E-03        0.272799E+00        0.139388E+01        0.144440E+02        0.789497E-02        0.972940E-02        0.145990E-04        0.456657E-03        0.892314E-05        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.333175E-01        0.000000E+00        0.769204E-04        0.769204E-04        0.000000E+00        0.000000E+00        0.938930E-02        0.000000E+00        0.100000E+01
    201012        0.440000E+00        0.380292E+01        0.353657E+02        0.173807E+02        0.668866E+02        0.668866E+01        0.668866E+03        0.250000E+01        0.600000E+01        0.458456E-02        0.336461E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.152456E-01        0.499851E-01        0.114653E-02        0.375883E-03        0.275966E+00        0.139388E+01        0.144440E+02        0.197227E-01        0.972940E-02        0.145990E-04        0.104396E-02        0.587272E-06        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.267248E-01        0.000000E+00        0.668866E-04        0.668866E-04        0.000000E+00        0.000000E+00        0.356516E-02        0.000000E+00        0.100000E+01
    201101        0.440000E+00        0.344241E+01        0.332528E+02        0.159165E+02        0.611520E+02        0.611520E+01        0.611520E+03        0.250000E+01        0.600000E+01        0.431724E-02        0.331405E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.132647E-01        0.499851E-01        0.107968E-02        0.343656E-03        0.278009E+00        0.139388E+01        0.144440E+02        0.213080E-01        0.972940E-02        0.145990E-04        0.106044E-02        0.802380E-07        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.232524E-01        0.000000E+00        0.611520E-04        0.611520E-04        0.000000E+00        0.000000E+00        0.264846E-02        0.000000E+00        0.100000E+01
    201102        0.440000E+00        0.446480E+01        0.413610E+02        0.206386E+02        0.693409E+02        0.693409E+01        0.693409E+03        0.250000E+01        0.600000E+01        0.466753E-02        0.337185E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.165147E-01        0.499851E-01        0.116728E-02        0.389675E-03        0.275680E+00        0.139388E+01        0.144440E+02        0.861463E-02        0.972940E-02        0.145990E-04        0.424685E-03        0.129676E-04        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.289496E-01        0.000000E+00        0.693409E-04        0.693409E-04        0.000000E+00        0.000000E+00        0.859950E-02        0.144053E-03        0.100000E+01
    201103        0.440000E+00        0.513227E+01        0.412733E+02        0.222959E+02        0.908567E+02        0.908567E+01        0.908567E+03        0.250000E+01        0.600000E+01        0.561540E-02        0.353782E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.247716E-01        0.499851E-01        0.140432E-02        0.510588E-03        0.268980E+00        0.139388E+01        0.144440E+02        0.187098E-01        0.972940E-02        0.145990E-04        0.122496E-02        0.124646E-05        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.434235E-01        0.000000E+00        0.908567E-04        0.908567E-04        0.000000E+00        0.000000E+00        0.614778E-02        0.000000E+00        0.100000E+01
    201104        0.440000E+00        0.742800E+01        0.530023E+02        0.313088E+02        0.117269E+03        0.117269E+02        0.117269E+04        0.250000E+01        0.600000E+01        0.665943E-02        0.369242E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.368845E-01        0.499851E-01        0.166542E-02        0.659014E-03        0.262754E+00        0.139388E+01        0.144440E+02        0.227076E-02        0.972940E-02        0.145990E-04        0.171779E-03        0.578928E-03        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.646569E-01        0.000000E+00        0.117269E-03        0.117269E-03        0.000000E+00        0.000000E+00        0.282558E-01        0.853608E-02        0.100000E+01
    201105        0.440000E+00        0.763872E+01        0.537286E+02        0.320243E+02        0.120413E+03        0.120413E+02        0.120413E+04        0.250000E+01        0.600000E+01        0.677812E-02        0.370873E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.384341E-01        0.499851E-01        0.169510E-02        0.676683E-03        0.262097E+00        0.139388E+01        0.144440E+02        0.722852E-03        0.972940E-02        0.145990E-04        0.591063E-04        0.501444E-03        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.673734E-01        0.000000E+00        0.120413E-03        0.120413E-03        0.000000E+00        0.000000E+00        0.310110E-01        0.830380E-02        0.100000E+01
    201106        0.440000E+00        0.114623E+02        0.651443E+02        0.445579E+02        0.178152E+03        0.178152E+02        0.178152E+04        0.250000E+01        0.600000E+01        0.881214E-02        0.396219E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.706447E-01        0.499851E-01        0.220378E-02        0.100116E-02        0.251895E+00        0.139388E+01        0.144440E+02        0.918656E-03        0.972940E-02        0.145990E-04        0.929309E-04        0.229114E-03        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.123837E+00        0.000000E+00        0.178152E-03        0.178152E-03        0.000000E+00        0.000000E+00        0.535865E-01        0.991907E-02        0.100000E+01
    201107        0.440000E+00        0.954505E+01        0.457423E+02        0.324270E+02        0.200536E+03        0.200536E+02        0.200536E+04        0.250000E+01        0.600000E+01        0.953136E-02        0.403997E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.851832E-01        0.499851E-01        0.238365E-02        0.112695E-02        0.248762E+00        0.139388E+01        0.144440E+02        0.187961E-01        0.972940E-02        0.145990E-04        0.209351E-02        0.307219E-05        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.149322E+00        0.000000E+00        0.200536E-03        0.200536E-03        0.000000E+00        0.000000E+00        0.136840E-01        0.000000E+00        0.100000E+01
    201108        0.440000E+00        0.889781E+01        0.443978E+02        0.309669E+02        0.189069E+03        0.189069E+02        0.189069E+04        0.250000E+01        0.600000E+01        0.914945E-02        0.399651E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.782048E-01        0.499851E-01        0.228813E-02        0.106251E-02        0.250511E+00        0.139388E+01        0.144440E+02        0.216692E-01        0.972940E-02        0.145990E-04        0.228772E-02        0.164061E-08        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.137090E+00        0.000000E+00        0.189069E-03        0.189069E-03        0.000000E+00        0.000000E+00        0.634567E-02        0.000000E+00        0.100000E+01
    201109        0.440000E+00        0.762673E+01        0.478013E+02        0.301170E+02        0.141736E+03        0.141736E+02        0.141736E+04        0.250000E+01        0.600000E+01        0.755438E-02        0.381036E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.496853E-01        0.499851E-01        0.188923E-02        0.796511E-03        0.258006E+00        0.139388E+01        0.144440E+02        0.215182E-01        0.972940E-02        0.145990E-04        0.187621E-02        0.516129E-07        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.870961E-01        0.000000E+00        0.141736E-03        0.141736E-03        0.000000E+00        0.000000E+00        0.877559E-02        0.000000E+00        0.100000E+01
    201110        0.440000E+00        0.642658E+01        0.484926E+02        0.276332E+02        0.105814E+03        0.105814E+02        0.105814E+04        0.250000E+01        0.600000E+01        0.621326E-02        0.362783E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.315021E-01        0.499851E-01        0.155384E-02        0.594643E-03        0.265355E+00        0.139388E+01        0.144440E+02        0.150850E-01        0.972940E-02        0.145990E-04        0.111350E-02        0.376600E-05        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.552218E-01        0.000000E+00        0.105814E-03        0.105814E-03        0.000000E+00        0.000000E+00        0.114132E-01        0.000000E+00        0.100000E+01
    201111        0.440000E+00        0.513389E+01        0.445950E+02        0.232079E+02        0.800685E+02        0.800685E+01        0.800685E+03        0.250000E+01        0.600000E+01        0.516768E-02        0.346658E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.202233E-01        0.499851E-01        0.129236E-02        0.449961E-03        0.271852E+00        0.139388E+01        0.144440E+02        0.306540E-02        0.972940E-02        0.145990E-04        0.180501E-03        0.349032E-04        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.354505E-01        0.000000E+00        0.800685E-04        0.800685E-04        0.000000E+00        0.000000E+00        0.123735E-01        0.779658E-03        0.100000E+01
    201112        0.440000E+00        0.420863E+01        0.403727E+02        0.197540E+02        0.659084E+02        0.659084E+01        0.659084E+03        0.250000E+01        0.600000E+01        0.454086E-02        0.335686E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.148831E-01        0.499851E-01        0.113560E-02        0.370386E-03        0.276279E+00        0.139388E+01        0.144440E+02        0.122426E-01        0.972940E-02        0.145990E-04        0.642974E-03        0.439072E-05        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.260894E-01        0.000000E+00        0.659084E-04        0.659084E-04        0.000000E+00        0.000000E+00        0.639376E-02        0.000000E+00        0.100000E+01
    201201        0.440000E+00        0.410928E+01        0.388242E+02        0.191412E+02        0.675199E+02        0.675199E+01        0.675199E+03        0.250000E+01        0.600000E+01        0.461599E-02        0.337105E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.154381E-01        0.499851E-01        0.115439E-02        0.379441E-03        0.275706E+00        0.139388E+01        0.144440E+02        0.185613E-01        0.972940E-02        0.145990E-04        0.987478E-03        0.887368E-06        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.270622E-01        0.000000E+00        0.675199E-04        0.675199E-04        0.000000E+00        0.000000E+00        0.496586E-02        0.000000E+00        0.100000E+01
    201202        0.440000E+00        0.446067E+01        0.417282E+02        0.207060E+02        0.688511E+02        0.688511E+01        0.688511E+03        0.250000E+01        0.600000E+01        0.467128E-02        0.337965E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.159859E-01        0.499851E-01        0.116821E-02        0.386922E-03        0.275359E+00        0.139388E+01        0.144440E+02        0.390337E-02        0.972940E-02        0.145990E-04        0.209773E-03        0.436733E-04        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.280226E-01        0.000000E+00        0.688511E-04        0.688511E-04        0.000000E+00        0.000000E+00        0.985367E-02        0.894242E-03        0.100000E+01
    201203        0.440000E+00        0.578693E+01        0.471599E+02        0.255691E+02        0.907977E+02        0.907977E+01        0.907977E+03        0.250000E+01        0.600000E+01        0.561698E-02        0.353896E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.246713E-01        0.499851E-01        0.140472E-02        0.510255E-03        0.268934E+00        0.139388E+01        0.144440E+02        0.284142E-03        0.972940E-02        0.145990E-04        0.180744E-04        0.357477E-03        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.432477E-01        0.000000E+00        0.907977E-04        0.907977E-04        0.000000E+00        0.000000E+00        0.221630E-01        0.587646E-02        0.100000E+01
    201204        0.440000E+00        0.684916E+01        0.510839E+02        0.293263E+02        0.107981E+03        0.107981E+02        0.107981E+04        0.250000E+01        0.600000E+01        0.630843E-02        0.364398E-01        0.116710E-03        0.116710E-03        0.116710E-03        0.112179E-02        0.332897E-02        0.898618E+00        0.999207E+00        0.323053E-01        0.499851E-01        0.157764E-02        0.606822E-03        0.264704E+00        0.139388E+01        0.144440E+02        0.726108E-03        0.972940E-02        0.145990E-04        0.541376E-04        0.216389E-03        0.334788E-01        0.250000E+00        0.836969E-02        0.400000E+01        0.566298E-01        0.000000E+00        0.107981E-03        0.107981E-03        0.000000E+00        0.000000E+00        0.253968E-01        0.515958E-02        0.100000E+01
