 Simulation_Period = 20090901 -- 20170831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon               kPOM1               kPOM2                kMOM                kDOM                kMBA             kMBA_in                kMBD             kMBD_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE                 NUE              TM_err               TMbeg               TMend              TOTinp              TOTout                 STP                 SWC                 SWP                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
    200909        0.320639E-05        0.223918E-03        0.156717E-05        0.710285E+00        0.395181E-01        0.408760E-01        0.172897E-04        0.223648E-03        0.123023E-01        0.124825E-01        0.308620E+00        0.320593E+00        0.243917E+00        0.100000E+01        0.104712E-16        0.119743E+01        0.119739E+01        0.942078E-04        0.134061E-03        0.225267E+02        0.791100E-01       -0.314767E-01        0.640000E+01
    200910        0.309703E-05        0.231735E-03        0.175759E-05        0.139646E+00        0.454456E-01        0.456403E-01        0.170284E-04        0.531074E-04        0.529481E-02        0.529254E-02        0.494216E+00        0.119236E+00        0.266860E+00        0.100000E+01       -0.113460E-16        0.119801E+01        0.119802E+01        0.506258E-04        0.459610E-04        0.170516E+02        0.745710E-01       -0.363032E-01        0.640000E+01
    200911        0.299696E-05        0.226932E-03        0.183543E-05        0.276872E+00        0.252107E-01        0.234603E-01        0.178581E-04        0.537632E-04        0.360288E-02        0.345492E-02        0.304933E+00        0.160978E+00        0.267771E+00        0.100000E+01       -0.828529E-17        0.119381E+01        0.119379E+01        0.218787E-04        0.324545E-04        0.149633E+02        0.827133E-01       -0.297567E-01        0.640000E+01
    200912        0.266595E-05        0.232644E-03        0.177048E-05        0.311176E-02        0.453552E-01        0.357227E-01        0.148129E-04        0.181831E-05        0.253914E-03        0.185990E-03        0.737735E+00        0.553008E-02       -0.227191E+01        0.100000E+01        0.986870E-17        0.119000E+01        0.119000E+01        0.496129E-05        0.163329E-05        0.752323E+01        0.564968E-01       -0.660742E-01        0.640000E+01
    201001        0.240745E-05        0.210009E-03        0.159355E-05        0.414222E-05        0.494383E-01        0.498875E-01        0.147570E-04        0.267167E-08        0.153124E-04        0.573332E-06        0.812618E+00        0.146853E-04       -0.328360E+02        0.100000E+01       -0.338862E-17        0.119000E+01        0.119000E+01        0.436226E-05        0.159211E-06        0.763226E+01        0.534097E-01       -0.759452E-01        0.640000E+01
    201002        0.238802E-05        0.208187E-03        0.159092E-05        0.212603E-03        0.423757E-01        0.503338E-01        0.185763E-04        0.466709E-07        0.502360E-04        0.408425E-04        0.845010E+00        0.892991E-03       -0.270266E+01        0.100000E+01       -0.387643E-17        0.119981E+01        0.119982E+01        0.369736E-05        0.462045E-06        0.800179E+01        0.740643E-01       -0.374571E-01        0.640000E+01
    201003        0.227063E-05        0.172145E-03        0.150444E-05        0.527222E+00        0.221638E-01        0.291520E-01        0.477282E-04        0.822786E-05        0.308600E-02        0.384000E-02        0.408432E+00        0.245503E+00        0.234985E+00        0.100000E+01        0.390742E-17        0.119332E+01        0.119331E+01        0.279581E-04        0.433443E-04        0.131487E+02        0.113177E+00       -0.156290E-01        0.640000E+01
    201004        0.248496E-05        0.145078E-03        0.193713E-05        0.133800E+01        0.114994E-01        0.153283E-01        0.760747E-04        0.156121E-04        0.532312E-02        0.530972E-02        0.158254E+00        0.461011E+00        0.215992E-01        0.100000E+01       -0.215972E-18        0.119364E+01        0.119367E+01        0.127973E-03        0.942623E-04        0.177500E+02        0.133467E+00       -0.109750E-01        0.640000E+01
    201005        0.277108E-05        0.130581E-03        0.247800E-05        0.123975E+01        0.194929E-01        0.240386E-01        0.298856E-04        0.780948E-04        0.844319E-02        0.835268E-02        0.201075E+00        0.433030E+00        0.882142E-01        0.100000E+01        0.999184E-17        0.123571E+01        0.123578E+01        0.206903E-03        0.133850E-03        0.207968E+02        0.103629E+00       -0.181355E-01        0.640000E+01
    201006        0.300450E-05        0.110767E-03        0.286687E-05        0.127740E+01        0.218667E-01        0.277028E-01        0.312276E-04        0.584418E-04        0.825556E-02        0.816575E-02        0.145885E+00        0.376767E+00        0.516873E-01        0.100000E+01        0.202606E-17        0.128971E+01        0.128978E+01        0.190633E-03        0.125846E-03        0.278900E+02        0.107183E+00       -0.168167E-01        0.640000E+01
