 Simulation_Period = 20090901 -- 20170831
   ID  VAR           Date             OBS_avg             SIM_avg              SIM_sd
    1    1       20100122          0.00005616          0.00000016          0.00000000
    2    1       20100217          0.00004385          0.00000028          0.00000001
    3    1       20100318          0.00011500          0.00004832          0.00000052
    4    1       20100427          0.00007603          0.00012730          0.00000097
    5    1       20100517          0.00008726          0.00013049          0.00000606
    6    1       20100610          0.00008456          0.00012618          0.00000166
    7    1       20100701          0.00015790          0.00010416          0.00000019
    8    1       20100721          0.00014580          0.00013446          0.00000029
    9    1       20100827          0.00006286          0.00007245          0.00000088
   10    1       20100922          0.00013310          0.00009347          0.00000046
   11    1       20101118          0.00005454          0.00004329          0.00000053
   12    1       20101222          0.00002624          0.00000139          0.00000007
   13    1       20110122          0.00002311          0.00000020          0.00000000
   14    1       20110222          0.00004406          0.00003330          0.00000346
   15    1       20110323          0.00007747          0.00004748          0.00000047
   16    1       20110428          0.00011210          0.00007679          0.00000016
   17    1       20110526          0.00014960          0.00012845          0.00000049
   18    1       20110626          0.00004190          0.00007769          0.00000268
   19    1       20110719          0.00003391          0.00003143          0.00000112
   20    1       20110816          0.00011520          0.00003844          0.00000011
   21    1       20110905          0.00006070          0.00004560          0.00000041
   22    1       20110924          0.00005152          0.00004342          0.00000009
   23    1       20111018          0.00005400          0.00004376          0.00000082
   24    1       20111112          0.00003661          0.00004449          0.00000042
   25    1       20111210          0.00003391          0.00003429          0.00000044
   26    1       20120115          0.00003964          0.00000060          0.00000002
   27    1       20120219          0.00004493          0.00003774          0.00000297
   28    1       20120313          0.00011050          0.00006821          0.00000146
   29    1       20120421          0.00007236          0.00010997          0.00000091
   30    1       20120519          0.00006426          0.00006052          0.00000044
   31    1       20120617          0.00008467          0.00007527          0.00000094
   32    1       20120722          0.00003899          0.00006805          0.00000054
   33    1       20120823          0.00005875          0.00005224          0.00000006
   34    1       20120922          0.00003748          0.00005968          0.00000086
   35    1       20121028          0.00004061          0.00002754          0.00000010
   36    1       20121117          0.00001728          0.00000869          0.00000033
   37    1       20121218          0.00001782          0.00000552          0.00000009
   38    1       20130120          0.00004946          0.00000035          0.00000000
   39    1       20130327          0.00003218          0.00005973          0.00000031
   40    1       20130529          0.00009655          0.00010079          0.00000001
   41    1       20130624          0.00015370          0.00015787          0.00000003
   42    1       20130802          0.00009173          0.00014144          0.00000031
   43    1       20130907          0.00005897          0.00008890          0.00000027
   44    1       20131009          0.00005659          0.00007437          0.00000011
   45    1       20140723          0.00008014          0.00009969          0.00000070
   46    1       20140827          0.00005346          0.00007140          0.00000018
   47    1       20140930          0.00004363          0.00006636          0.00000032
   48    1       20141029          0.00003132          0.00005295          0.00000056
   49    1       20141125          0.00003974          0.00003709          0.00000047
   50    1       20150203          0.00002776          0.00000095          0.00000002
   51    1       20150311          0.00013220          0.00010963          0.00000019
   52    1       20150426          0.00011350          0.00011806          0.00000027
   53    1       20150518          0.00013980          0.00014140          0.00000025
   54    1       20150624          0.00013800          0.00012659          0.00000049
   55    1       20150716          0.00013800          0.00009493          0.00000074
   56    1       20150926          0.00008564          0.00016098          0.00000104
   57    1       20151119          0.00006642          0.00005512          0.00000057
   58    1       20151216          0.00007204          0.00005902          0.00000019
   59    1       20160129          0.00003942          0.00005613          0.00000010
   60    1       20160229          0.00006534          0.00005511          0.00000037
   61    1       20160320          0.00008867          0.00005042          0.00000089
   62    1       20160423          0.00015110          0.00012021          0.00000087
   63    1       20160521          0.00013790          0.00016217          0.00000004
   64    1       20160617          0.00023550          0.00015785          0.00000364
   65    1       20160629          0.00018850          0.00017021          0.00000045
   66    1       20160713          0.00016210          0.00015373          0.00000034
   67    1       20160801          0.00016820          0.00015298          0.00000021
   68    1       20160816          0.00010290          0.00010906          0.00000017
   69    1       20160831          0.00013370          0.00009016          0.00000011
   70    1       20160913          0.00012580          0.00014083          0.00000105
   71    1       20160929          0.00015060          0.00009280          0.00000023
   72    1       20161028          0.00014960          0.00009349          0.00000123
   73    1       20161123          0.00008888          0.00006135          0.00000037
   74    1       20161222          0.00005897          0.00006141          0.00000356
   75    2       20000101          0.01050000          0.01481000          0.00635506
   76    3         201610          0.55140000          0.55131526          0.05289575
   77    4         201010          0.00006100          0.00005252          0.00000045
   78    4         201110          0.00003910          0.00003593          0.00000066
   79    4         201201          0.00002990          0.00003177          0.00000079
   80    4         201202          0.00003410          0.00002936          0.00000052
   81    4         201203          0.00008570          0.00003081          0.00000118
   82    4         201204          0.00005570          0.00003470          0.00000100
   83    4         201205          0.00002670          0.00003707          0.00000024
   84    4         201206          0.00003440          0.00003579          0.00000054
   85    4         201207          0.00003170          0.00003399          0.00000052
   86    4         201208          0.00003430          0.00003219          0.00000055
   87    4         201209          0.00003390          0.00003051          0.00000038
   88    4         201210          0.00003980          0.00002905          0.00000050
   89    4         201211          0.00001820          0.00002714          0.00000060
   90    4         201212          0.00001870          0.00002502          0.00000060
   91    4         201310          0.00004900          0.00004289          0.00000045
   92    4         201410          0.00003540          0.00003889          0.00000048
   93    4         201510          0.00004850          0.00004674          0.00000055
   94    4         201601          0.00002910          0.00005202          0.00000058
   95    4         201602          0.00006420          0.00005379          0.00000042
   96    4         201603          0.00011000          0.00005410          0.00000054
   97    4         201604          0.00005700          0.00005327          0.00000050
   98    4         201605          0.00009640          0.00005590          0.00000087
   99    4         201606          0.00007460          0.00005845          0.00000061
  100    4         201607          0.00007770          0.00006037          0.00000049
