 Simulation_Period = 20090901 -- 20170831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day                TM_C               TOM_C               SOM_C              POM1_C              POM2_C               MOM_C               QOM_C               DOM_C                MB_C               MBA_C               MBD_C               ENZ_C             ENZP1_C             ENZP2_C              ENZM_C            TM_err_C                 CO2               Nmine                 NH4                 NO3                TM_N               TOM_N               SOM_N              POM1_N              POM2_N               MOM_N               QOM_N               DOM_N                MB_N               MBA_N               MBD_N               ENZ_N             ENZP1_N             ENZP2_N              ENZM_N            TM_err_N               TM_CN              TOM_CN              SOM_CN             POM1_CN             POM2_CN              MOM_CN              QOM_CN              DOM_CN               MB_CN              MBA_CN              MBD_CN              ENZ_CN            ENZP1_CN            ENZP2_CN             ENZM_CN           TM_err_CN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
         0           0.122E+01           0.122E+01           0.116E+01           0.405E+00           0.450E-01           0.702E+00           0.709E-02           0.520E-01           0.110E-01           0.220E-02           0.880E-02           0.150E-03           0.500E-04           0.500E-04           0.500E-04           0.212-313           0.000E+00           0.000E+00           0.601-153           0.296E+17           0.212-313           0.000E+00           0.318-313           0.695-309           0.170-312           0.212-313           0.494-323           0.318-313           0.170-312           0.318-313           0.170-312           0.318-313           0.318-313           0.000E+00           0.162-318           0.212-313           0.000E+00           0.212-313           0.198-322           0.212-313           0.212-313           0.494-323           0.000E+00           0.296-322           0.212-313           0.212-313           0.257-321           0.848-313           0.212-313           0.494-323           0.247-322           0.257-321                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
  20090901        0.122034E+01        0.122034E+01        0.117637E+01        0.405084E+00        0.453979E-01        0.701913E+00        0.239780E-01        0.319307E-01        0.118844E-01        0.308674E-02        0.879764E-02        0.150023E-03        0.499819E-04        0.499332E-04        0.501079E-04        0.266643E-17        0.324268E-02        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090902        0.121352E+01        0.121352E+01        0.119136E+01        0.405263E+00        0.462511E-01        0.701919E+00        0.379277E-01        0.747520E-02        0.145334E-01        0.573693E-02        0.879648E-02        0.150344E-03        0.500097E-04        0.498126E-04        0.505216E-04        0.314892E-16        0.130475E-01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090903        0.120808E+01        0.120808E+01        0.119182E+01        0.405443E+00        0.471005E-01        0.701925E+00        0.373458E-01        0.239598E-03        0.158786E-01        0.703503E-02        0.884355E-02        0.151085E-03        0.501324E-04        0.497035E-04        0.512491E-04        0.197189E-16        0.214712E-01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090904        0.120667E+01        0.120667E+01        0.119058E+01        0.405622E+00        0.479448E-01        0.701931E+00        0.350835E-01        0.213414E-03        0.157236E-01        0.681814E-02        0.890546E-02        0.151860E-03        0.502623E-04        0.495961E-04        0.520013E-04        0.324290E-16        0.258709E-01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090905        0.120547E+01        0.120547E+01        0.118945E+01        0.405801E+00        0.487882E-01        0.701937E+00        0.329267E-01        0.209534E-03        0.156584E-01        0.670197E-02        0.895645E-02        0.152626E-03        0.503900E-04        0.494893E-04        0.527471E-04        0.225706E-16        0.300544E-01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090906        0.120411E+01        0.120411E+01        0.118828E+01        0.405957E+00        0.495133E-01        0.701943E+00        0.308666E-01        0.192037E-03        0.154876E-01        0.647718E-02        0.901040E-02        0.153384E-03        0.505154E-04        0.493831E-04        0.534856E-04       -0.129529E-16        0.340817E-01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090907        0.120269E+01        0.120269E+01        0.118707E+01        0.406093E+00        0.501306E-01        0.701949E+00        0.289004E-01        0.187711E-03        0.152797E-01        0.621299E-02        0.906667E-02        0.154114E-03        0.506344E-04        0.492769E-04        0.542029E-04       -0.161682E-16        0.378738E-01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090908        0.120141E+01        0.120141E+01        0.118596E+01        0.406229E+00        0.507482E-01        0.701954E+00        0.270327E-01        0.183647E-03        0.151111E-01        0.598672E-02        0.912435E-02        0.154815E-03        0.507464E-04        0.491706E-04        0.548976E-04       -0.323339E-17        0.415278E-01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090909        0.120025E+01        0.120025E+01        0.118495E+01        0.406364E+00        0.513662E-01        0.701959E+00        0.252605E-01        0.179855E-03        0.149674E-01        0.578378E-02        0.918363E-02        0.155489E-03        0.508525E-04        0.490642E-04        0.555726E-04       -0.978152E-17        0.450611E-01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090910        0.119934E+01        0.119934E+01        0.118407E+01        0.406500E+00        0.519782E-01        0.701964E+00        0.236302E-01        0.173678E-03        0.149329E-01        0.569023E-02        0.924269E-02        0.156114E-03        0.509472E-04        0.489571E-04        0.562098E-04       -0.153652E-16        0.483515E-01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090911        0.119863E+01        0.119863E+01        0.118334E+01        0.406635E+00        0.525813E-01        0.701970E+00        0.221495E-01        0.170990E-03        0.149683E-01        0.566667E-02        0.930162E-02        0.156697E-03        0.510325E-04        0.488494E-04        0.568155E-04        0.869665E-18        0.514276E-01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090912        0.119803E+01        0.119803E+01        0.118271E+01        0.406771E+00        0.531777E-01        0.701976E+00        0.207906E-01        0.173892E-03        0.149786E-01        0.561779E-02        0.936086E-02        0.157254E-03        0.511116E-04        0.487416E-04        0.574006E-04        0.156136E-17        0.544079E-01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20090913        0.119748E+01        0.119748E+01        0.118220E+01        0.406906E+00        0.537670E-01        0.701982E+00        0.195456E-01        0.178172E-03        0.149452E-01        0.552559E-02        0.941964E-02        0.157777E-03        0.511832E-04        0.486334E-04        0.579604E-04        0.691802E-17        0.573233E-01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
