 Simulation_Period = 20090901 -- 20170831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon                TM_C               TOM_C               SOM_C              POM1_C              POM2_C               MOM_C               QOM_C               DOM_C                MB_C               MBA_C               MBD_C               ENZ_C             ENZP1_C             ENZP2_C              ENZM_C            TM_err_C                 CO2               Nmine                 NH4                 NO3                TM_N               TOM_N               SOM_N              POM1_N              POM2_N               MOM_N               QOM_N               DOM_N                MB_N               MBA_N               MBD_N               ENZ_N             ENZP1_N             ENZP2_N              ENZM_N            TM_err_N               TM_CN              TOM_CN              SOM_CN             POM1_CN             POM2_CN              MOM_CN              QOM_CN              DOM_CN               MB_CN              MBA_CN              MBD_CN              ENZ_CN            ENZP1_CN            ENZP2_CN             ENZM_CN           TM_err_CN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
         0           0.122E+01           0.122E+01           0.116E+01           0.405E+00           0.450E-01           0.702E+00           0.709E-02           0.520E-01           0.110E-01           0.220E-02           0.880E-02           0.150E-03           0.500E-04           0.500E-04           0.500E-04           0.212-313           0.000E+00           0.000E+00           0.601-153           0.296E+17           0.212-313           0.000E+00           0.318-313           0.695-309           0.170-312           0.212-313           0.494-323           0.318-313           0.170-312           0.318-313           0.170-312           0.318-313           0.318-313           0.000E+00           0.162-318           0.212-313           0.000E+00           0.212-313           0.198-322           0.212-313           0.212-313           0.494-323           0.000E+00           0.296-322           0.212-313           0.212-313           0.257-321           0.848-313           0.212-313           0.494-323           0.247-322           0.257-321                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
    200909        0.119821E+01        0.119821E+01        0.118238E+01        0.407064E+00        0.541684E-01        0.702000E+00        0.191426E-01        0.152572E-02        0.141505E-01        0.461933E-02        0.953113E-02        0.157526E-03        0.510131E-04        0.483387E-04        0.581741E-04        0.104761E-16        0.599638E-01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    200910        0.119674E+01        0.119674E+01        0.118425E+01        0.409916E+00        0.641147E-01        0.702244E+00        0.798008E-02        0.516331E-03        0.118151E-01        0.141754E-02        0.103976E-01        0.157331E-03        0.496424E-04        0.447768E-04        0.629115E-04       -0.113489E-16        0.115404E+00        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    200911        0.119350E+01        0.119350E+01        0.118043E+01        0.410767E+00        0.626632E-01        0.702505E+00        0.449817E-02        0.211141E-03        0.127047E-01        0.208291E-02        0.106218E-01        0.152525E-03        0.473388E-04        0.413835E-04        0.638027E-04       -0.829174E-17        0.143836E+00        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    200912        0.119029E+01        0.119029E+01        0.117842E+01        0.410482E+00        0.555733E-01        0.702673E+00        0.968858E-02        0.950429E-03        0.107754E-01        0.601817E-04        0.107152E-01        0.143605E-03        0.442437E-04        0.381140E-04        0.612472E-04        0.987380E-17        0.155104E+00        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201001        0.119303E+01        0.119303E+01        0.118086E+01        0.409921E+00        0.480927E-01        0.702743E+00        0.201031E-01        0.143593E-02        0.106001E-01        0.155633E-06        0.106000E-01        0.131685E-03        0.405692E-04        0.349447E-04        0.561714E-04       -0.339151E-17        0.155357E+00        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201002        0.119559E+01        0.119559E+01        0.118316E+01        0.409418E+00        0.424275E-01        0.702700E+00        0.286105E-01        0.182134E-02        0.104927E-01        0.944368E-05        0.104833E-01        0.121239E-03        0.373505E-04        0.321714E-04        0.517172E-04       -0.387395E-17        0.155501E+00        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201003        0.119137E+01        0.119137E+01        0.117638E+01        0.409343E+00        0.401291E-01        0.702565E+00        0.243435E-01        0.663933E-03        0.142113E-01        0.394475E-02        0.102666E-01        0.116155E-03        0.354294E-04        0.297228E-04        0.510029E-04        0.390257E-17        0.168241E+00        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201004        0.119274E+01        0.119274E+01        0.117429E+01        0.412218E+00        0.539277E-01        0.702292E+00        0.584787E-02        0.970360E-04        0.182249E-01        0.840382E-02        0.982105E-02        0.136020E-03        0.391839E-04        0.280365E-04        0.687991E-04       -0.229056E-18        0.218019E+00        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
    201005        0.123585E+01        0.123585E+01        0.121803E+01        0.420484E+00        0.944668E-01        0.701974E+00        0.110486E-02        0.146340E-03        0.175095E-01        0.758622E-02        0.992324E-02        0.161449E-03        0.438286E-04        0.271045E-04        0.905156E-04        0.999297E-17        0.304380E+00        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
