 Simulation_Period = 20090901 -- 20170831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
      Year                TM_C               TOM_C               SOM_C              POM1_C              POM2_C               MOM_C               QOM_C               DOM_C                MB_C               MBA_C               MBD_C               ENZ_C             ENZP1_C             ENZP2_C              ENZM_C            TM_err_C                 CO2               Nmine                 NH4                 NO3                TM_N               TOM_N               SOM_N              POM1_N              POM2_N               MOM_N               QOM_N               DOM_N                MB_N               MBA_N               MBD_N               ENZ_N             ENZP1_N             ENZP2_N              ENZM_N            TM_err_N               TM_CN              TOM_CN              SOM_CN             POM1_CN             POM2_CN              MOM_CN              QOM_CN              DOM_CN               MB_CN              MBA_CN              MBD_CN              ENZ_CN            ENZP1_CN            ENZP2_CN             ENZM_CN           TM_err_CN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
         0           0.122E+01           0.122E+01           0.116E+01           0.405E+00           0.450E-01           0.702E+00           0.709E-02           0.520E-01           0.110E-01           0.220E-02           0.880E-02           0.150E-03           0.500E-04           0.500E-04           0.500E-04           0.212-313           0.000E+00           0.000E+00           0.601-153           0.296E+17           0.212-313           0.000E+00           0.318-313           0.695-309           0.170-312           0.212-313           0.494-323           0.318-313           0.170-312           0.318-313           0.170-312           0.318-313           0.318-313           0.000E+00           0.162-318           0.212-313           0.000E+00           0.212-313           0.198-322           0.212-313           0.212-313           0.494-323           0.000E+00           0.296-322           0.212-313           0.212-313           0.257-321           0.848-313           0.212-313           0.494-323           0.247-322           0.257-321                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
      2009        0.119467E+01        0.119467E+01        0.118137E+01        0.409568E+00        0.591416E-01        0.702357E+00        0.103029E-01        0.799799E-03        0.123439E-01        0.202358E-02        0.103204E-01        0.152709E-03        0.480412E-04        0.431253E-04        0.615428E-04        0.162314E-18        0.118850E+00        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
      2010        0.129837E+01        0.129837E+01        0.128207E+01        0.433012E+00        0.139341E+00        0.701925E+00        0.779554E-02        0.531135E-03        0.155855E-01        0.409967E-02        0.114858E-01        0.182293E-03        0.454934E-04        0.281242E-04        0.108676E-03        0.950287E-18        0.445566E+00        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
      2011        0.140874E+01        0.140874E+01        0.139175E+01        0.468914E+00        0.211598E+00        0.699550E+00        0.116861E-01        0.756920E-03        0.160463E-01        0.244483E-02        0.136014E-01        0.192163E-03        0.391466E-04        0.192410E-04        0.133776E-03        0.177124E-17        0.998403E+00        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
      2012        0.146997E+01        0.146997E+01        0.145122E+01        0.495697E+00        0.249991E+00        0.695342E+00        0.101882E-01        0.779325E-03        0.177991E-01        0.215214E-02        0.156470E-01        0.170041E-03        0.314556E-04        0.149788E-04        0.123607E-03       -0.804782E-18        0.144599E+01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
      2013        0.154645E+01        0.154645E+01        0.152806E+01        0.526568E+00        0.297571E+00        0.692626E+00        0.112991E-01        0.655009E-03        0.175375E-01        0.508401E-02        0.124535E-01        0.194909E-03        0.331945E-04        0.172157E-04        0.144499E-03       -0.135893E-17        0.192584E+01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
      2014        0.156107E+01        0.156107E+01        0.154463E+01        0.561151E+00        0.281999E+00        0.691516E+00        0.996646E-02        0.676105E-03        0.155353E-01        0.341182E-02        0.121235E-01        0.229649E-03        0.382103E-04        0.201336E-04        0.171306E-03        0.380323E-17        0.256615E+01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
      2015        0.163484E+01        0.163484E+01        0.161321E+01        0.600861E+00        0.316329E+00        0.689069E+00        0.695218E-02        0.495999E-03        0.208941E-01        0.573442E-02        0.151597E-01        0.240017E-03        0.399799E-04        0.206813E-04        0.179356E-03        0.794943E-17        0.322907E+01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
      2016        0.163477E+01        0.163477E+01        0.161835E+01        0.642498E+00        0.287953E+00        0.687619E+00        0.275451E-03        0.140583E-03        0.159368E-01        0.692817E-02        0.900859E-02        0.348131E-03        0.586187E-04        0.291854E-04        0.260327E-03       -0.547633E-17        0.407128E+01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
      2017        0.167770E+01        0.167770E+01        0.166639E+01        0.671103E+00        0.280472E+00        0.683420E+00        0.313976E-01        0.229114E-02        0.873399E-02        0.126069E-02        0.747330E-02        0.279324E-03        0.476273E-04        0.227995E-04        0.208897E-03        0.719787E-19        0.465387E+01        0.000000E+00        0.000000E+00        0.296176E+17        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
