OBJ_Critical= 0.80  0.56

      fOBJ            LF0             r0            VP1            VP2             VM            KP1            KP2             KM           Qmax            Kba           Kdes             rE            pEP           fpEM             fD             gD             Vg          alpha             KD             Yg           Ygsl           wdie          gamma           beta          WPA2D            tau          wdorm
 0.767         0.90000000     0.96978453     0.87927477     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00166062     0.02156345     0.96647429     0.06580546     0.63120358     0.00415538     0.34541258     0.33013081     0.34416792     0.00730000     4.00000000     9.33054426     0.00100000     0.07000000     0.25000000     4.00000000
 0.811         0.90000000     0.08773510    13.85139313     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00063874     0.03087842     1.98669362     0.76009641     0.73228837     0.01321093     0.02224175     0.44874672     0.10724971     0.00730000     4.00000000    13.88340921     0.00100000     0.07000000     0.25000000     4.00000000
 0.836         0.90000000     0.08504855     1.74482408     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00182292     0.04780301     0.56497562     0.82852724     0.38453513     0.04052009     0.12610569     0.22005422     0.53069446     0.00730000     4.00000000     7.36364727     0.00100000     0.07000000     0.25000000     4.00000000
 0.852         0.90000000     0.50818151    10.32510207     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00848313     0.04272568     2.77961719     0.44180537     0.65966673     0.02496641     0.36456361     0.27095854     0.53923056     0.00730000     4.00000000     6.05174210     0.00100000     0.07000000     0.25000000     4.00000000
 0.854         0.90000000     0.87206700     2.38859034     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00883413     0.03643510     0.89476097     0.90727866     0.61795426     0.01085359     0.41388950     0.21136571     0.52305696     0.00730000     4.00000000    12.84872217     0.00100000     0.07000000     0.25000000     4.00000000
 0.878         0.90000000     0.10283540     1.03945959     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00450303     0.04615035     1.47297132     0.13742334     0.66114383     0.03279570     0.44326284     0.45961964     0.57765064     0.00730000     4.00000000    14.99976859     0.00100000     0.07000000     0.25000000     4.00000000
 0.925         0.90000000     0.90788309     3.20319762     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00879561     0.01715082     2.87315238     0.26983160     0.17748127     0.02980842     0.37387211     0.40874406     0.56115041     0.00730000     4.00000000     2.34994614     0.00100000     0.07000000     0.25000000     4.00000000
  1.02         0.90000000     0.89020388     0.49738283     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00626373     0.00133343     1.59371483     0.83593258     0.39600168     0.00707161     0.38398987     0.42860678     0.20768390     0.00730000     4.00000000    13.80574126     0.00100000     0.07000000     0.25000000     4.00000000
  1.26         0.90000000     0.58482966    15.02851095     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00226122     0.00279582     2.97911870     0.63982842     0.99697191     0.05999002     0.30391689     0.18221072     0.51400874     0.00730000     4.00000000     9.87030568     0.00100000     0.07000000     0.25000000     4.00000000
  1.27         0.90000000     0.94346646     4.99147255     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00213891     0.02049807     1.37341785     0.82472728     0.15816894     0.04370492     0.46001567     0.27448105     0.45110402     0.00730000     4.00000000     0.36235352     0.00100000     0.07000000     0.25000000     4.00000000
  1.35         0.90000000     0.57154848     5.69877281     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00578472     0.04113854     1.35383117     0.17949188     0.92039126     0.05092269     0.13768341     0.27564148     0.35150669     0.00730000     4.00000000     3.01218760     0.00100000     0.07000000     0.25000000     4.00000000
  1.41         0.90000000     0.23441749    17.70776112     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00050055     0.00050704     0.74056017     0.27959546     0.90739120     0.08072291     0.19314917     0.01929566     0.52250001     0.00730000     4.00000000    18.34342847     0.00100000     0.07000000     0.25000000     4.00000000
  1.43         0.90000000     0.63311428     9.40062096     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00061645     0.03863072     2.18494403     0.56664431     0.26459283     0.01721809     0.16225185     0.12875529     0.25507054     0.00730000     4.00000000    10.91203835     0.00100000     0.07000000     0.25000000     4.00000000
  1.55         0.90000000     0.55007667    15.18979650     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00438738     0.02950301     1.34370136     0.08585843     0.40111654     0.08995657     0.47591160     0.38815211     0.40933499     0.00730000     4.00000000    19.80336297     0.00100000     0.07000000     0.25000000     4.00000000
  1.75         0.90000000     0.94113940    14.81394434     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00998249     0.01420617     0.88271546     0.92516495     0.05982332     0.08435831     0.27831081     0.04130481     0.47759852     0.00730000     4.00000000    12.03617401     0.00100000     0.07000000     0.25000000     4.00000000
  1.95         0.90000000     0.25156562     0.21228878     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00840420     0.04220260     2.32896912     0.80466005     0.14039390     0.06741333     0.42053066     0.10977682     0.27397451     0.00730000     4.00000000    19.65256283     0.00100000     0.07000000     0.25000000     4.00000000
  1.95         0.90000000     0.55911773     5.00424483     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00995173     0.00323203     2.77892399     0.76432172     0.48702480     0.03465817     0.04618179     0.02758919     0.25525651     0.00730000     4.00000000    15.91377852     0.00100000     0.07000000     0.25000000     4.00000000
  2.03         0.90000000     0.94220934    18.03940849     2.00000000     2.00000000   100.00000000     6.00000000   492.00000000     2.50000000     6.00000000     0.00600000     0.00149508     0.01979645     0.58195341     0.95922635     0.65351756     0.08501092     0.17605368     0.32569461     0.26311276     0.00730000     4.00000000    17.52020037     0.00100000     0.07000000     0.25000000     4.00000000
