Soil	BESTF	VPL	VPC	KPL	KPC	rEP	pEP	fP2D	gB2D	VD	KD	YG	alpha	LCI	pEM	VM	KM	Qmax	KBA	Kdes	r0
Gelisol	0.283	3	22.96	3.656	95.941	0.0001	0.096	0.572	0.018	0.05	0.087	0.599	0.5	0.1	0.012	1.028	531.561	2.871	12.274	0.002	0.983
Gelisol	0.283	3	22.919	3.546	95.679	0.0001	0.096	0.572	0.018	0.05	0.086	0.6	0.5	0.1	0.012	1.028	530.406	2.885	12.271	0.002	0.985
Gelisol	0.283	3	22.825	3.566	95.831	0.0001	0.097	0.572	0.018	0.05	0.086	0.6	0.5	0.1	0.012	1.028	528.942	2.897	12.269	0.002	0.987
Gelisol	0.283	3	22.934	3.866	95.311	0.0001	0.097	0.572	0.018	0.05	0.087	0.599	0.5	0.1	0.012	1.03	528.245	2.894	12.271	0.002	0.988
Gelisol	0.283	3	22.846	3.644	95.569	0.0001	0.097	0.572	0.018	0.05	0.086	0.599	0.5	0.1	0.012	1.03	527.961	2.904	12.269	0.002	0.989
Gelisol	0.284	2.999	23.126	3.554	97.179	0.0001	0.095	0.572	0.018	0.05	0.087	0.599	0.499	0.1	0.012	1.025	533.533	2.838	12.274	0.002	0.989
Gelisol	0.284	3	23.126	4.099	96.473	0.0001	0.096	0.572	0.018	0.05	0.087	0.599	0.5	0.1	0.012	1.028	533.264	2.85	12.278	0.002	0.989
Gelisol	0.284	2.999	23.084	3.1	96.521	0.0001	0.095	0.572	0.017	0.05	0.087	0.599	0.5	0.1	0.012	1.026	533.503	2.84	12.274	0.002	0.98
Gelisol	0.284	2.999	22.924	3.144	97.038	0.0001	0.095	0.572	0.017	0.05	0.087	0.599	0.5	0.1	0.012	1.026	534.695	2.844	12.272	0.002	0.975
Gelisol	0.284	3	23.048	3.784	95.355	0.0001	0.096	0.572	0.018	0.05	0.087	0.599	0.5	0.1	0.012	1.027	532.184	2.865	12.276	0.002	0.983
Gelisol	0.284	0.481	43.961	1.002	61.841	0.0001	0.096	0.565	0.522	0.05	0.086	0.573	0.5	0.405	0.051	0.342	825.266	4.068	7.88	0.005	0.987
