 Data_Period = 20180801 -- 20180807
      Hour        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH
2018080101            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080102            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080103            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080104            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080105            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080106            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080107            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080108            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080109            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080110            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080111            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080112            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080113            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080114            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080115            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080116            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080117            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080118            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080119            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080120            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080121            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080122            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080123            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080124            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080201            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080202            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080203            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080204            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080205            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080206            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080207            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080208            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080209            0.000000           20.000000         -999.000000           -0.010000            7.300000
2018080210            0.000000           20.000000         -999.000000           -0.010000            7.300000
