MMDDHH	SIN_mg/cm3/h	STP_oC	SWC	SWP_MPa	pH
010101	240	25	0.245	-0.000726	7.3
010102	0	25	0.245	-0.000726	7.3
010103	0	25	0.245	-0.000726	7.3
010104	0	25	0.245	-0.000726	7.3
010105	0	25	0.245	-0.000726	7.3
010106	0	25	0.245	-0.000726	7.3
010107	0	25	0.245	-0.000726	7.3
010108	0	25	0.245	-0.000726	7.3
010109	0	25	0.245	-0.000726	7.3
010110	0	25	0.245	-0.000726	7.3
010111	0	25	0.245	-0.000726	7.3
010112	0	25	0.245	-0.000726	7.3
010113	0	25	0.245	-0.000726	7.3
010114	0	25	0.245	-0.000726	7.3
010115	0	25	0.245	-0.000726	7.3
010116	0	25	0.245	-0.000726	7.3
010117	0	25	0.245	-0.000726	7.3
010118	0	25	0.245	-0.000726	7.3
010119	0	25	0.245	-0.000726	7.3
010120	0	25	0.245	-0.000726	7.3
010121	0	25	0.245	-0.000726	7.3
010122	0	25	0.245	-0.000726	7.3
010123	0	25	0.245	-0.000726	7.3
010124	0	25	0.245	-0.000726	7.3
010201	0	25	0.245	-0.000726	7.3
010202	0	25	0.245	-0.000726	7.3
010203	0	25	0.245	-0.000726	7.3
010204	0	25	0.245	-0.000726	7.3
010205	0	25	0.245	-0.000726	7.3
010206	0	25	0.245	-0.000726	7.3
010207	0	25	0.245	-0.000726	7.3
010208	0	25	0.245	-0.000726	7.3
010209	0	25	0.245	-0.000726	7.3
010210	0	25	0.245	-0.000726	7.3
010211	0	25	0.245	-0.000726	7.3
010212	0	25	0.245	-0.000726	7.3
010213	0	25	0.245	-0.000726	7.3
010214	0	25	0.245	-0.000726	7.3
010215	0	25	0.245	-0.000726	7.3
010216	0	25	0.245	-0.000726	7.3
010217	0	25	0.245	-0.000726	7.3
010218	0	25	0.245	-0.000726	7.3
010219	0	25	0.245	-0.000726	7.3
010220	0	25	0.245	-0.000726	7.3
010221	0	25	0.245	-0.000726	7.3
010222	0	25	0.245	-0.000726	7.3
010223	0	25	0.245	-0.000726	7.3
010224	0	25	0.245	-0.000726	7.3
010301	0	25	0.245	-0.000726	7.3
010302	0	25	0.245	-0.000726	7.3
010303	0	25	0.245	-0.000726	7.3
010304	0	25	0.245	-0.000726	7.3
010305	0	25	0.245	-0.000726	7.3
010306	0	25	0.245	-0.000726	7.3
010307	0	25	0.245	-0.000726	7.3
010308	0	25	0.245	-0.000726	7.3
010309	0	25	0.245	-0.000726	7.3
010310	0	25	0.245	-0.000726	7.3
010311	0	25	0.245	-0.000726	7.3
010312	0	25	0.245	-0.000726	7.3
010313	0	25	0.245	-0.000726	7.3
010314	0	25	0.245	-0.000726	7.3
010315	0	25	0.245	-0.000726	7.3
010316	0	25	0.245	-0.000726	7.3
010317	0	25	0.245	-0.000726	7.3
010318	0	25	0.245	-0.000726	7.3
010319	0	25	0.245	-0.000726	7.3
010320	0	25	0.245	-0.000726	7.3
010321	0	25	0.245	-0.000726	7.3
