 SCE-UA Results from Multiple Runs:

         LF0          r0         VP1         VP2          VM         KP1         KP2          KM        Qmax         Kba        Kdes          rE         pEP        fpEM          fD          gD          Vg       alpha          KD          Yg        Ygsl        wdie       gamma        beta       WPA2D         tau       wdorm |  CRITERION    OBJ-1:         0
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.024060    0.250893    0.100006    0.102454    0.049997    0.321519    0.499979    0.599935    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3004    0.2615    0.3392
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026133    0.250316    0.100001    0.912051    0.049996    0.314551    0.499981    0.599993    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2571    0.3428
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027209    0.250020    0.100042    0.220878    0.049992    0.311484    0.498077    0.599701    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3001    0.2578    0.3424
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.018529    0.250323    0.100171    0.998394    0.044989    0.388707    0.499964    0.599966    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3058    0.2797    0.3319
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026790    0.250244    0.100049    0.129939    0.049987    0.313969    0.499989    0.599973    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2578    0.3420
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.029100    0.250124    0.100034    0.048768    0.049997    0.305271    0.499962    0.599967    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2526    0.3475
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027075    0.251210    0.100008    0.284136    0.049999    0.312877    0.499928    0.599963    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2573    0.3425
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.049739    0.250277    0.100006    0.648818    0.049995    0.233663    0.452772    0.599994    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3068    0.2449    0.3687
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.034287    0.250021    0.100012    0.967176    0.049982    0.286732    0.495430    0.599973    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3011    0.2451    0.3570
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027040    0.250070    0.100013    0.029893    0.049986    0.313145    0.499911    0.599942    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2574    0.3424
