 SIMULATION vs. OBSERVATION for ALL CASES: 
   ID  VAR           Date             OBS_avg             SIM_avg              SIM_sd
    1    1       20180102            0.004378            0.004378            0.000978
    2    1       20180103            0.008079            0.007778            0.000980
    3    1       20180104            0.012068            0.011193            0.000996
    4    1       20180105            0.014747            0.014727            0.001047
    5    1       20180106            0.017547            0.018490            0.001127
    6    1       20180107            0.019867            0.022568            0.001228
    7    1       20180108            0.022184            0.027029            0.001348
    1    1       20180102            0.085241            0.014327            0.003514
    2    1       20180103            0.150517            0.026372            0.003403
    3    1       20180104            0.215982            0.038056            0.003371
    4    1       20180105            0.251604            0.050083            0.003598
    5    1       20180106            0.281004            0.063251            0.004021
    6    1       20180107            0.303629            0.078140            0.004586
    7    1       20180108            0.325971            0.095198            0.005270
    8    2       20180102            0.036100            0.004253            0.001320
    9    2       20180103            0.064300            0.008993            0.001381
   10    2       20180104            0.092500            0.013780            0.001390
   11    2       20180105            0.107700            0.018746            0.001488
   12    2       20180106            0.120100            0.024201            0.001669
   13    2       20180107            0.129500            0.030398            0.001914
   14    2       20180108            0.138700            0.037545            0.002216
    1    1       20180102            0.004440            0.004652            0.001089
    2    1       20180103            0.007958            0.008556            0.001156
    3    1       20180104            0.011984            0.012664            0.001218
    4    1       20180105            0.015320            0.017041            0.001311
    5    1       20180106            0.018054            0.021795            0.001435
    6    1       20180107            0.020567            0.027031            0.001589
    7    1       20180108            0.024769            0.032846            0.001770
    1    1       20180102            0.092809            0.014857            0.003750
    2    1       20180103            0.163038            0.028023            0.003807
    3    1       20180104            0.232184            0.041335            0.003905
    4    1       20180105            0.273805            0.055445            0.004269
    5    1       20180106            0.310993            0.071225            0.004862
    6    1       20180107            0.340781            0.089394            0.005644
    7    1       20180108            0.369362            0.110567            0.006595
    8    2       20180102            0.040346            0.004408            0.001396
    9    2       20180103            0.070773            0.009518            0.001516
   10    2       20180104            0.100319            0.014849            0.001567
   11    2       20180105            0.117950            0.020505            0.001709
   12    2       20180106            0.133791            0.026821            0.001947
   13    2       20180107            0.146438            0.034108            0.002267
   14    2       20180108            0.158675            0.042638            0.002664
