 Simulation_Period = 20180101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day             POCdec1             POCdec2         POCdec2DOC1         POCdec2DOC2         POCdec2MOC1         POCdec2MOC2             MOC2DOC             QOC2DOC             DOC2QOC          DOC2QOCnet             DOC2MBC          CO2_growth          CO2_maintn     CO2_maintn_dorm              CO2_gm       MBC_mortality             MBC2EP1             MBC2EP2              MBC2EM              MBC_PM             EP2DOC1             EP2DOC2              EM2DOC             MBC2DOC             MBC2POC             MBA2MBD             MBD2MBA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  20180101        0.217500E-05        0.238625E-02        0.108900E-05        0.119279E-02        0.108900E-05        0.119279E-02        0.187083E-04        0.327042E-03        0.594208E-02        0.561500E-02        0.435454E-03        0.296600E-03        0.378475E-04        0.126333E-05        0.335779E-03        0.536708E-15        0.196129E-06        0.549542E-06        0.745667E-06        0.149146E-05        0.269417E-05        0.272292E-05        0.273792E-05        0.268333E-15        0.268333E-15        0.491792E-15        0.308375E-03
  20180102        0.179708E-05        0.207125E-02        0.898750E-06        0.103508E-02        0.898750E-06        0.103508E-02        0.166833E-04        0.589292E-03        0.309417E-02        0.250250E-02        0.655583E-03        0.446542E-03        0.569792E-04        0.121833E-05        0.504667E-03        0.128821E-14        0.473792E-06        0.131417E-05        0.178833E-05        0.357917E-05        0.218958E-05        0.234208E-05        0.242708E-05        0.643958E-15        0.643958E-15        0.129142E-14        0.180458E-03
  20180103        0.151708E-05        0.192083E-02        0.757750E-06        0.960417E-03        0.757750E-06        0.960417E-03        0.164417E-04        0.706875E-03        0.189917E-02        0.119321E-02        0.639625E-03        0.435625E-03        0.555792E-04        0.119083E-05        0.492458E-03        0.187333E-14        0.694667E-06        0.190750E-05        0.260208E-05        0.520583E-05        0.184583E-05        0.218917E-05        0.238208E-05        0.937083E-15        0.937083E-15        0.196708E-14        0.116663E-03
  20180104        0.133000E-05        0.190083E-02        0.664917E-06        0.950875E-03        0.664917E-06        0.950875E-03        0.173667E-04        0.766417E-03        0.143583E-02        0.669375E-03        0.633042E-03        0.431333E-03        0.550083E-04        0.117250E-05        0.487333E-03        0.235875E-14        0.881625E-06        0.239542E-05        0.327792E-05        0.655458E-05        0.162000E-05        0.218167E-05        0.250208E-05        0.118000E-14        0.118000E-14        0.252625E-14        0.898333E-04
  20180105        0.121542E-05        0.197000E-02        0.607708E-06        0.984917E-03        0.607708E-06        0.984917E-03        0.190708E-04        0.802917E-03        0.125917E-02        0.455583E-03        0.674333E-03        0.459375E-03        0.586042E-04        0.115583E-05        0.519125E-03        0.281292E-14        0.106008E-05        0.284917E-05        0.390875E-05        0.781833E-05        0.148042E-05        0.227583E-05        0.273625E-05        0.140750E-14        0.140750E-14        0.303625E-14        0.790167E-04
  20180106        0.115750E-05        0.210292E-02        0.578667E-06        0.105167E-02        0.578667E-06        0.105167E-02        0.214167E-04        0.829500E-03        0.119292E-02        0.363250E-03        0.753125E-03        0.513042E-03        0.654375E-04        0.114292E-05        0.579500E-03        0.328000E-14        0.124625E-05        0.331042E-05        0.455583E-05        0.911167E-05        0.141083E-05        0.244708E-05        0.305625E-05        0.163708E-14        0.163708E-14        0.354792E-14        0.747208E-04
  20180107        0.114458E-05        0.228625E-02        0.573167E-06        0.114375E-02        0.573167E-06        0.114375E-02        0.243208E-04        0.852167E-03        0.117167E-02        0.319250E-03        0.858833E-03        0.585000E-03        0.746417E-04        0.112750E-05        0.660792E-03        0.377833E-14        0.145042E-05        0.380042E-05        0.524917E-05        0.104962E-04        0.139500E-05        0.268375E-05        0.345042E-05        0.188958E-14        0.188958E-14        0.409167E-14        0.730167E-04
  20180108        0.117583E-05        0.251583E-02        0.587583E-06        0.125667E-02        0.587583E-06        0.125667E-02        0.277708E-04        0.872375E-03        0.117000E-02        0.295125E-03        0.987167E-03        0.672458E-03        0.857917E-04        0.111458E-05        0.759292E-03        0.432750E-14        0.167583E-05        0.433625E-05        0.601333E-05        0.120333E-04        0.143167E-05        0.297958E-05        0.391625E-05        0.216375E-14        0.216375E-14        0.468542E-14        0.723833E-04
  20180109        0.124000E-05        0.278292E-02        0.620250E-06        0.139167E-02        0.620250E-06        0.139167E-02        0.317792E-04        0.891333E-03        0.117000E-02        0.279250E-03        0.113667E-02        0.774167E-03        0.987875E-04        0.110167E-05        0.874125E-03        0.493667E-14        0.193625E-05        0.492375E-05        0.685958E-05        0.137167E-04        0.151167E-05        0.333250E-05        0.445583E-05        0.246875E-14        0.246875E-14        0.534208E-14        0.721583E-04
  20180110        0.134083E-05        0.308750E-02        0.670333E-06        0.154375E-02        0.670333E-06        0.154375E-02        0.364292E-04        0.909417E-03        0.117625E-02        0.266208E-03        0.130750E-02        0.890333E-03        0.113583E-03        0.108708E-05        0.100471E-02        0.561667E-14        0.223167E-05        0.557292E-05        0.780333E-05        0.156042E-04        0.163292E-05        0.374250E-05        0.506917E-05        0.280792E-14        0.280792E-14        0.607292E-14        0.720625E-04
  20180111        0.147500E-05        0.342625E-02        0.737458E-06        0.171333E-02        0.737458E-06        0.171333E-02        0.417458E-04        0.926583E-03        0.118000E-02        0.252792E-03        0.149917E-02        0.102096E-02        0.130292E-03        0.107417E-05        0.115250E-02        0.637625E-14        0.257083E-05        0.628750E-05        0.885833E-05        0.177125E-04        0.179708E-05        0.420875E-05        0.576833E-05        0.318750E-14        0.318750E-14        0.689000E-14        0.719042E-04
  20180112        0.164417E-05        0.379708E-02        0.822083E-06        0.189875E-02        0.822083E-06        0.189875E-02        0.478458E-04        0.942833E-03        0.118000E-02        0.237167E-03        0.171167E-02        0.116625E-02        0.148833E-03        0.106083E-05        0.131625E-02        0.722333E-14        0.296042E-05        0.707625E-05        0.100375E-04        0.200708E-04        0.200583E-05        0.473792E-05        0.655292E-05        0.361125E-14        0.361125E-14        0.780250E-14        0.715917E-04
  20180113        0.185000E-05        0.419708E-02        0.925458E-06        0.209875E-02        0.925458E-06        0.209875E-02        0.548167E-04        0.957917E-03        0.117667E-02        0.218125E-03        0.194500E-02        0.132542E-02        0.169125E-03        0.104667E-05        0.149583E-02        0.816917E-14        0.341083E-05        0.794042E-05        0.113500E-04        0.227000E-04        0.225583E-05        0.533083E-05        0.743667E-05        0.408458E-14        0.408458E-14        0.882000E-14        0.710458E-04
  20180114        0.209875E-05        0.462125E-02        0.104942E-05        0.231083E-02        0.104942E-05        0.231083E-02        0.627708E-04        0.971625E-03        0.116625E-02        0.195042E-03        0.219875E-02        0.149750E-02        0.191000E-03        0.103417E-05        0.169000E-02        0.922125E-14        0.393125E-05        0.888292E-05        0.128125E-04        0.256250E-04        0.255750E-05        0.599000E-05        0.843000E-05        0.461083E-14        0.461083E-14        0.995208E-14        0.702167E-04
  20180115        0.239208E-05        0.506292E-02        0.119625E-05        0.253083E-02        0.119625E-05        0.253083E-02        0.718250E-04        0.983708E-03        0.115083E-02        0.167125E-03        0.246750E-02        0.168083E-02        0.214500E-03        0.102167E-05        0.189583E-02        0.103971E-13        0.453333E-05        0.989500E-05        0.144292E-04        0.288625E-04        0.291458E-05        0.671625E-05        0.954125E-05        0.519250E-14        0.519250E-14        0.112125E-13        0.690792E-04
  20180116        0.273625E-05        0.551500E-02        0.136792E-05        0.275792E-02        0.136792E-05        0.275792E-02        0.821042E-04        0.993667E-03        0.112875E-02        0.134750E-03        0.274708E-02        0.187167E-02        0.238667E-03        0.100750E-05        0.211125E-02        0.116625E-13        0.522958E-05        0.109833E-04        0.162125E-04        0.324292E-04        0.333542E-05        0.751292E-05        0.107792E-04        0.583375E-14        0.583375E-14        0.126083E-13        0.676167E-04
  20180117        0.313708E-05        0.596542E-02        0.156958E-05        0.298208E-02        0.156958E-05        0.298208E-02        0.937333E-04        0.999708E-03        0.109875E-02        0.979708E-04        0.303375E-02        0.206625E-02        0.263583E-03        0.995667E-06        0.233083E-02        0.130750E-13        0.603083E-05        0.121333E-04        0.181625E-04        0.363250E-04        0.382417E-05        0.837833E-05        0.121458E-04        0.653667E-14        0.653667E-14        0.141333E-13        0.658208E-04
  20180118        0.360500E-05        0.640083E-02        0.180125E-05        0.320042E-02        0.180125E-05        0.320042E-02        0.106833E-03        0.100917E-02        0.106333E-02        0.569667E-04        0.331792E-02        0.226000E-02        0.288500E-03        0.983500E-06        0.254917E-02        0.146000E-13        0.695708E-05        0.133042E-04        0.202792E-04        0.405542E-04        0.439375E-05        0.931000E-05        0.136667E-04        0.729667E-14        0.729667E-14        0.158000E-13        0.637083E-04
  20180119        0.414667E-05        0.680375E-02        0.207333E-05        0.340167E-02        0.207333E-05        0.340167E-02        0.121500E-03        0.101000E-02        0.102163E-02        0.123828E-04        0.359208E-02        0.244708E-02        0.312208E-03        0.971958E-06        0.276000E-02        0.162375E-13        0.802250E-05        0.145500E-04        0.225500E-04        0.451167E-04        0.505458E-05        0.102958E-04        0.153167E-04        0.811750E-14        0.811750E-14        0.176083E-13        0.612583E-04
  20180120        0.477250E-05        0.715667E-02        0.238708E-05        0.357833E-02        0.238708E-05        0.357833E-02        0.137917E-03        0.101000E-02        0.973208E-03       -0.351250E-04        0.384500E-02        0.261958E-02        0.334167E-03        0.960750E-06        0.295375E-02        0.179792E-13        0.924542E-05        0.157500E-04        0.249833E-04        0.499750E-04        0.581833E-05        0.113333E-04        0.171250E-04        0.899167E-14        0.899167E-14        0.195417E-13        0.585125E-04
  20180121        0.549458E-05        0.743833E-02        0.274833E-05        0.371875E-02        0.274833E-05        0.371875E-02        0.156042E-03        0.100417E-02        0.919708E-03       -0.847542E-04        0.406667E-02        0.277000E-02        0.353417E-03        0.950042E-06        0.312458E-02        0.198250E-13        0.106433E-04        0.169083E-04        0.275458E-04        0.550958E-04        0.669833E-05        0.124042E-04        0.190875E-04        0.991333E-14        0.991333E-14        0.215958E-13        0.555083E-04
  20180122        0.632458E-05        0.762750E-02        0.316167E-05        0.381375E-02        0.316167E-05        0.381375E-02        0.175875E-03        0.997125E-03        0.861792E-03       -0.135500E-03        0.424417E-02        0.289083E-02        0.368750E-03        0.939875E-06        0.326083E-02        0.217458E-13        0.122292E-04        0.179875E-04        0.302167E-04        0.604333E-04        0.771042E-05        0.134917E-04        0.211833E-04        0.108708E-13        0.108708E-13        0.237500E-13        0.522542E-04
  20180123        0.727333E-05        0.770750E-02        0.363625E-05        0.385542E-02        0.363625E-05        0.385542E-02        0.197375E-03        0.986750E-03        0.800375E-03       -0.186292E-03        0.436833E-02        0.297583E-02        0.379625E-03        0.930375E-06        0.335667E-02        0.237208E-13        0.140250E-04        0.189375E-04        0.329625E-04        0.659250E-04        0.886583E-05        0.145583E-04        0.234042E-04        0.118583E-13        0.118583E-13        0.259833E-13        0.488125E-04
  20180124        0.834958E-05        0.766708E-02        0.417458E-05        0.383292E-02        0.417458E-05        0.383292E-02        0.220500E-03        0.972833E-03        0.736625E-03       -0.236000E-03        0.443125E-02        0.301708E-02        0.385125E-03        0.921583E-06        0.340417E-02        0.257167E-13        0.160208E-04        0.197208E-04        0.357417E-04        0.714792E-04        0.101800E-04        0.155833E-04        0.257500E-04        0.128583E-13        0.128583E-13        0.282583E-13        0.452292E-04
  20180125        0.956375E-05        0.749875E-02        0.478250E-05        0.374833E-02        0.478250E-05        0.374833E-02        0.244792E-03        0.955667E-03        0.672125E-03       -0.283500E-03        0.442708E-02        0.301458E-02        0.384750E-03        0.913375E-06        0.340125E-02        0.277167E-13        0.182500E-04        0.202833E-04        0.385125E-04        0.770250E-04        0.116667E-04        0.165375E-04        0.281875E-04        0.138583E-13        0.138583E-13        0.305417E-13        0.415583E-04
  20180126        0.109292E-04        0.720375E-02        0.546500E-05        0.360208E-02        0.546500E-05        0.360208E-02        0.270250E-03        0.935583E-03        0.608083E-03       -0.327542E-03        0.435542E-02        0.296667E-02        0.378542E-03        0.905833E-06        0.334708E-02        0.296750E-13        0.206583E-04        0.205875E-04        0.412375E-04        0.824708E-04        0.133333E-04        0.173750E-04        0.306958E-04        0.148417E-13        0.148417E-13        0.328125E-13        0.378750E-04
  20180127        0.124375E-04        0.679833E-02        0.621792E-05        0.340042E-02        0.621792E-05        0.340042E-02        0.296417E-03        0.912500E-03        0.545750E-03       -0.366833E-03        0.422333E-02        0.287708E-02        0.366958E-03        0.899042E-06        0.324417E-02        0.315792E-13        0.232417E-04        0.206417E-04        0.438750E-04        0.877458E-04        0.151667E-04        0.180750E-04        0.332375E-04        0.157875E-13        0.157875E-13        0.350333E-13        0.342583E-04
  20180128        0.140875E-04        0.630250E-02        0.704458E-05        0.315083E-02        0.704458E-05        0.315083E-02        0.322875E-03        0.887292E-03        0.486542E-03       -0.400667E-03        0.403792E-02        0.275042E-02        0.350917E-03        0.892833E-06        0.310250E-02        0.333792E-13        0.259792E-04        0.203958E-04        0.463500E-04        0.927708E-04        0.171917E-04        0.186042E-04        0.357917E-04        0.166917E-13        0.166917E-13        0.371542E-13        0.307750E-04
  20180129        0.158750E-04        0.574292E-02        0.793833E-05        0.287167E-02        0.793833E-05        0.287167E-02        0.349292E-03        0.859875E-03        0.431583E-03       -0.428375E-03        0.381500E-02        0.259792E-02        0.331417E-03        0.887333E-06        0.292958E-02        0.350667E-13        0.288208E-04        0.199167E-04        0.487250E-04        0.974625E-04        0.193792E-04        0.189375E-04        0.383167E-04        0.175375E-13        0.175375E-13        0.391583E-13        0.274792E-04
  20180130        0.177792E-04        0.515000E-02        0.889042E-05        0.257500E-02        0.889042E-05        0.257500E-02        0.375167E-03        0.830917E-03        0.381333E-03       -0.449417E-03        0.356333E-02        0.242750E-02        0.309750E-03        0.882333E-06        0.273792E-02        0.366375E-13        0.317000E-04        0.192125E-04        0.509083E-04        0.101825E-03        0.217500E-04        0.190958E-04        0.407500E-04        0.183208E-13        0.183208E-13        0.410250E-13        0.244500E-04
  20180131        0.197833E-04        0.455292E-02        0.989125E-05        0.227667E-02        0.989125E-05        0.227667E-02        0.400417E-03        0.800583E-03        0.336667E-03       -0.464042E-03        0.330292E-02        0.225000E-02        0.287042E-03        0.877917E-06        0.253833E-02        0.380750E-13        0.345708E-04        0.183292E-04        0.529000E-04        0.105792E-03        0.241625E-04        0.190167E-04        0.431500E-04        0.190375E-13        0.190375E-13        0.427542E-13        0.217000E-04
  20180201        0.218542E-04        0.397625E-02        0.109250E-04        0.198792E-02        0.109250E-04        0.198792E-02        0.424292E-03        0.769708E-03        0.297250E-03       -0.472417E-03        0.304542E-02        0.207417E-02        0.264625E-03        0.874000E-06        0.233958E-02        0.393792E-13        0.373875E-04        0.173250E-04        0.547083E-04        0.109417E-03        0.266958E-04        0.187625E-04        0.454542E-04        0.196917E-13        0.196917E-13        0.443167E-13        0.192625E-04
  20180202        0.239542E-04        0.343708E-02        0.119792E-04        0.171875E-02        0.119792E-04        0.171875E-02        0.446750E-03        0.738333E-03        0.263208E-03       -0.475000E-03        0.279625E-02        0.190667E-02        0.243167E-03        0.870500E-06        0.215042E-02        0.405417E-13        0.400833E-04        0.162500E-04        0.563417E-04        0.112667E-03        0.292750E-04        0.183375E-04        0.476167E-04        0.202708E-13        0.202708E-13        0.457333E-13        0.171167E-04
  20180203        0.260667E-04        0.294708E-02        0.130333E-04        0.147542E-02        0.130333E-04        0.147542E-02        0.467792E-03        0.707000E-03        0.234208E-03       -0.472833E-03        0.257125E-02        0.175125E-02        0.223500E-03        0.867375E-06        0.197542E-02        0.415958E-13        0.426417E-04        0.151583E-04        0.577917E-04        0.115583E-03        0.318708E-04        0.177750E-04        0.496458E-04        0.208000E-13        0.208000E-13        0.470000E-13        0.152708E-04
  20180204        0.281542E-04        0.251542E-02        0.140792E-04        0.125750E-02        0.140792E-04        0.125750E-02        0.487250E-03        0.675917E-03        0.209667E-03       -0.466417E-03        0.236500E-02        0.161125E-02        0.205583E-03        0.864500E-06        0.181792E-02        0.425375E-13        0.450250E-04        0.140833E-04        0.591000E-04        0.118167E-03        0.344250E-04        0.170958E-04        0.515333E-04        0.212708E-13        0.212708E-13        0.481375E-13        0.136917E-04
  20180205        0.301958E-04        0.213792E-02        0.151000E-04        0.106879E-02        0.151000E-04        0.106879E-02        0.505042E-03        0.645333E-03        0.188750E-03       -0.456583E-03        0.218375E-02        0.148667E-02        0.189792E-03        0.861958E-06        0.167792E-02        0.433833E-13        0.472292E-04        0.130542E-04        0.602792E-04        0.120583E-03        0.369500E-04        0.163500E-04        0.532833E-04        0.216917E-13        0.216917E-13        0.491583E-13        0.123542E-04
  20180206        0.321583E-04        0.181500E-02        0.160792E-04        0.907542E-03        0.160792E-04        0.907542E-03        0.521292E-03        0.615583E-03        0.171458E-03       -0.444042E-03        0.202583E-02        0.137958E-02        0.176083E-03        0.859667E-06        0.155625E-02        0.441375E-13        0.492417E-04        0.120875E-04        0.613292E-04        0.122667E-03        0.393500E-04        0.155292E-04        0.548917E-04        0.220667E-13        0.220667E-13        0.500750E-13        0.112333E-04
  20180207        0.340333E-04        0.153958E-02        0.170167E-04        0.770625E-03        0.170167E-04        0.770625E-03        0.536042E-03        0.586625E-03        0.156917E-03       -0.429708E-03        0.188750E-02        0.128625E-02        0.164167E-03        0.857458E-06        0.145125E-02        0.448167E-13        0.510833E-04        0.111958E-04        0.622750E-04        0.124542E-03        0.416917E-04        0.146958E-04        0.563792E-04        0.224167E-13        0.224167E-13        0.509000E-13        0.102888E-04
  20180208        0.358042E-04        0.131042E-02        0.179042E-04        0.655250E-03        0.179042E-04        0.655250E-03        0.549333E-03        0.558750E-03        0.144833E-03       -0.413958E-03        0.177042E-02        0.120583E-02        0.153875E-03        0.855500E-06        0.136042E-02        0.454458E-13        0.527542E-04        0.103875E-04        0.631417E-04        0.126333E-03        0.438750E-04        0.138583E-04        0.577375E-04        0.227208E-13        0.227208E-13        0.516375E-13        0.949250E-05
  20180209        0.374667E-04        0.111750E-02        0.187417E-04        0.558667E-03        0.187417E-04        0.558667E-03        0.561333E-03        0.531917E-03        0.134625E-03       -0.397292E-03        0.167000E-02        0.113792E-02        0.145167E-03        0.853625E-06        0.128375E-02        0.460000E-13        0.542625E-04        0.965542E-05        0.639208E-04        0.127750E-03        0.459417E-04        0.130333E-04        0.589875E-04        0.230042E-13        0.230042E-13        0.523125E-13        0.882417E-05
  20180210        0.390250E-04        0.956250E-03        0.195083E-04        0.478042E-03        0.195083E-04        0.478042E-03        0.572042E-03        0.506125E-03        0.126167E-03       -0.380167E-03        0.158292E-02        0.107875E-02        0.137583E-03        0.851917E-06        0.121750E-02        0.465167E-13        0.556333E-04        0.899875E-05        0.646333E-04        0.129333E-03        0.478833E-04        0.122458E-04        0.601167E-04        0.232583E-13        0.232583E-13        0.529250E-13        0.825708E-05
  20180211        0.404667E-04        0.821458E-03        0.202292E-04        0.410708E-03        0.202292E-04        0.410708E-03        0.581708E-03        0.481500E-03        0.118792E-03       -0.362833E-03        0.150917E-02        0.102792E-02        0.131208E-03        0.850375E-06        0.116042E-02        0.469917E-13        0.568917E-04        0.841000E-05        0.652917E-04        0.130583E-03        0.496750E-04        0.114792E-04        0.611542E-04        0.234958E-13        0.234958E-13        0.534958E-13        0.777625E-05
  20180212        0.417875E-04        0.709125E-03        0.208958E-04        0.354667E-03        0.208958E-04        0.354667E-03        0.590375E-03        0.458125E-03        0.112583E-03       -0.345625E-03        0.144500E-02        0.984292E-03        0.125583E-03        0.848667E-06        0.111125E-02        0.474292E-13        0.580167E-04        0.788375E-05        0.659000E-04        0.131750E-03        0.513333E-04        0.107625E-04        0.621083E-04        0.237125E-13        0.237125E-13        0.540167E-13        0.736500E-05
  20180213        0.430292E-04        0.615250E-03        0.215167E-04        0.307625E-03        0.215167E-04        0.307625E-03        0.598167E-03        0.435875E-03        0.107292E-03       -0.328625E-03        0.139042E-02        0.947042E-03        0.120833E-03        0.847333E-06        0.106833E-02        0.478333E-13        0.590542E-04        0.741208E-05        0.664667E-04        0.132917E-03        0.528833E-04        0.100983E-04        0.629792E-04        0.239167E-13        0.239167E-13        0.545000E-13        0.701167E-05
  20180214        0.441542E-04        0.536750E-03        0.220750E-04        0.268250E-03        0.220750E-04        0.268250E-03        0.605083E-03        0.414750E-03        0.102708E-03       -0.312000E-03        0.134167E-02        0.914417E-03        0.116667E-03        0.845750E-06        0.103250E-02        0.482167E-13        0.600083E-04        0.699167E-05        0.669958E-04        0.133958E-03        0.543083E-04        0.947542E-05        0.637833E-04        0.241125E-13        0.241125E-13        0.549458E-13        0.670500E-05
  20180215        0.451917E-04        0.470417E-03        0.225958E-04        0.235167E-03        0.225958E-04        0.235167E-03        0.611500E-03        0.394583E-03        0.986875E-04       -0.296000E-03        0.130042E-02        0.885958E-03        0.113083E-03        0.844458E-06        0.999500E-03        0.485750E-13        0.608792E-04        0.661458E-05        0.674917E-04        0.135000E-03        0.556292E-04        0.890167E-05        0.645292E-04        0.242833E-13        0.242833E-13        0.553667E-13        0.643750E-05
  20180216        0.461458E-04        0.414750E-03        0.230750E-04        0.207250E-03        0.230750E-04        0.207250E-03        0.617083E-03        0.375500E-03        0.951917E-04       -0.280333E-03        0.126375E-02        0.860750E-03        0.109875E-03        0.843208E-06        0.971542E-03        0.489167E-13        0.616833E-04        0.627458E-05        0.679625E-04        0.135958E-03        0.568458E-04        0.837542E-05        0.652125E-04        0.244542E-13        0.244542E-13        0.557667E-13        0.620333E-05
  20180217        0.470125E-04        0.367417E-03        0.235083E-04        0.183708E-03        0.235083E-04        0.183708E-03        0.622083E-03        0.357458E-03        0.920958E-04       -0.265333E-03        0.123125E-02        0.838833E-03        0.107042E-03        0.841792E-06        0.946625E-03        0.492333E-13        0.624333E-04        0.596958E-05        0.684083E-04        0.136875E-03        0.579625E-04        0.789250E-05        0.658500E-04        0.246208E-13        0.246208E-13        0.561458E-13        0.599625E-05
  20180218        0.478167E-04        0.327208E-03        0.239125E-04        0.163625E-03        0.239125E-04        0.163625E-03        0.626792E-03        0.340375E-03        0.893417E-04       -0.251042E-03        0.120250E-02        0.819208E-03        0.104500E-03        0.840583E-06        0.924583E-03        0.495333E-13        0.631250E-04        0.569292E-05        0.688250E-04        0.137667E-03        0.589958E-04        0.744917E-05        0.664458E-04        0.247625E-13        0.247625E-13        0.564917E-13        0.581167E-05
  20180219        0.485583E-04        0.292958E-03        0.242750E-04        0.146458E-03        0.242750E-04        0.146458E-03        0.630958E-03        0.324208E-03        0.868750E-04       -0.237375E-03        0.117750E-02        0.801792E-03        0.102250E-03        0.839417E-06        0.904917E-03        0.498167E-13        0.637833E-04        0.544500E-05        0.692250E-04        0.138417E-03        0.599500E-04        0.704542E-05        0.670000E-04        0.249125E-13        0.249125E-13        0.568375E-13        0.564708E-05
  20180220        0.492417E-04        0.263542E-03        0.246208E-04        0.131750E-03        0.246208E-04        0.131750E-03        0.634667E-03        0.309000E-03        0.846750E-04       -0.224250E-03        0.115375E-02        0.786042E-03        0.100258E-03        0.838250E-06        0.887167E-03        0.500958E-13        0.643958E-04        0.521458E-05        0.696083E-04        0.139125E-03        0.608375E-04        0.667750E-05        0.675167E-04        0.250500E-13        0.250500E-13        0.571583E-13        0.549792E-05
  20180221        0.498750E-04        0.238250E-03        0.249375E-04        0.119042E-03        0.249375E-04        0.119042E-03        0.638167E-03        0.294542E-03        0.826708E-04       -0.212000E-03        0.113333E-02        0.771917E-03        0.984792E-04        0.837125E-06        0.871292E-03        0.503583E-13        0.649625E-04        0.500667E-05        0.699667E-04        0.140000E-03        0.616500E-04        0.634125E-05        0.680083E-04        0.251708E-13        0.251708E-13        0.574625E-13        0.536375E-05
  20180222        0.504500E-04        0.216125E-03        0.252208E-04        0.108083E-03        0.252208E-04        0.108083E-03        0.641250E-03        0.280917E-03        0.808500E-04       -0.200083E-03        0.111458E-02        0.759042E-03        0.968458E-04        0.835875E-06        0.856875E-03        0.506083E-13        0.655000E-04        0.481583E-05        0.703250E-04        0.140708E-03        0.624292E-04        0.603500E-05        0.684625E-04        0.253042E-13        0.253042E-13        0.577583E-13        0.524125E-05
