 Data_Period = 20180101 -- 20180131                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
       Day        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
  20180101        0.112500E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180102        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180103        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180104        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180105        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180106        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180107        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180108        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180109        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180110        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180111        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180112        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180113        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180114        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180115        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180116        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180117        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180118        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180119        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180120        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180121        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180122        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180123        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180124        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180125        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180126        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180127        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180128        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180129        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180130        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
  20180131        0.000000E+00        0.250000E+02       -0.999000E+03       -0.726000E-03        0.730000E+01
