 Simulation_Period = 20180101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day               kPOC1               kPOC2                kMOC                kDOC                kMBa             kMBa_in                kMBd             kMBd_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE       Balance_Error              TOCbeg              TOCend              TOCinp              TOCout                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  20180101        0.144083E-05        0.566833E-03        0.405208E-05        0.281092E-02        0.550542E-01        0.139079E+00        0.188042E-02        0.300988E-14        0.197121E-02        0.254583E-02        0.212542E+00        0.376083E-01        0.224875E+00       -0.686917E-16        0.107892E+02        0.109000E+02        0.112500E+00        0.335779E-03
  20180102        0.117000E-05        0.485208E-03        0.359125E-05        0.737833E-02        0.335042E-01        0.555458E-01        0.114446E-02        0.815500E-14        0.292042E-02        0.376750E-02        0.128958E+00        0.887458E-01        0.224583E+00       -0.514250E-16        0.109000E+02        0.109000E+02        0.000000E+00        0.504667E-03
  20180103        0.986917E-06        0.455083E-03        0.352333E-05        0.112488E-01        0.222625E-01        0.339500E-01        0.760167E-03        0.126917E-13        0.280375E-02        0.360250E-02        0.854000E-01        0.126542E+00        0.221917E+00       -0.175804E-15        0.109000E+02        0.109000E+02        0.000000E+00        0.492458E-03
  20180104        0.865750E-06        0.455583E-03        0.370333E-05        0.144375E-01        0.174708E-01        0.256292E-01        0.596292E-03        0.165625E-13        0.273083E-02        0.350042E-02        0.667792E-01        0.156333E+00        0.219625E+00        0.111375E-15        0.109000E+02        0.109000E+02        0.000000E+00        0.487333E-03
  20180105        0.791292E-06        0.477333E-03        0.404917E-05        0.173458E-01        0.155958E-01        0.223542E-01        0.532458E-03        0.201542E-13        0.286042E-02        0.365833E-02        0.595458E-01        0.183083E+00        0.218625E+00       -0.115683E-15        0.109000E+02        0.109000E+02        0.000000E+00        0.519125E-03
  20180106        0.753708E-06        0.515542E-03        0.452292E-05        0.202792E-01        0.149375E-01        0.210500E-01        0.510125E-03        0.238708E-13        0.313042E-02        0.400458E-02        0.570125E-01        0.209208E+00        0.218000E+00       -0.686542E-16        0.109000E+02        0.109000E+02        0.000000E+00        0.579500E-03
  20180107        0.746417E-06        0.567958E-03        0.510625E-05        0.233833E-01        0.148000E-01        0.205625E-01        0.504917E-03        0.278667E-13        0.349167E-02        0.446708E-02        0.564125E-01        0.235792E+00        0.218000E+00       -0.530833E-16        0.109000E+02        0.109000E+02        0.000000E+00        0.660792E-03
  20180108        0.765333E-06        0.633792E-03        0.579542E-05        0.267667E-01        0.148333E-01        0.204000E-01        0.506417E-03        0.323125E-13        0.391333E-02        0.500833E-02        0.565917E-01        0.263417E+00        0.218875E+00        0.392500E-16        0.108292E+02        0.108250E+02        0.000000E+00        0.759292E-03
  20180109        0.807750E-06        0.712625E-03        0.659208E-05        0.305333E-01        0.149583E-01        0.204000E-01        0.511083E-03        0.372667E-13        0.438083E-02        0.560792E-02        0.571125E-01        0.292333E+00        0.219000E+00        0.218458E-15        0.108000E+02        0.108000E+02        0.000000E+00        0.874125E-03
  20180110        0.872917E-06        0.805000E-03        0.750208E-05        0.347083E-01        0.151375E-01        0.204708E-01        0.516583E-03        0.428958E-13        0.488292E-02        0.625208E-02        0.577375E-01        0.322375E+00        0.219000E+00       -0.204354E-15        0.108000E+02        0.108000E+02        0.000000E+00        0.100471E-02
