 Simulation_Period = 20180101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon               kPOC1               kPOC2                kMOC                kDOC                kMBa             kMBa_in                kMBd             kMBd_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE       Balance_Error              TOCbeg              TOCend              TOCinp              TOCout                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
    201801       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201802       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201803       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201804       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201805       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201806       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201807       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201808       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201809       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201810       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201811       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201812       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
