 Simulation_Period = 20180101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day                 SOC                POC1                POC2                 MOC                 QOC                 DOC                 MBC                MBCA                MBCD            ENZ_POC1            ENZ_POC2             ENZ_MOC             CO2_TOT              SOC_I1             POC1_I1             POC2_I1              MOC_I1              QOC_I1              DOC_I1              MBC_I1             MBCA_I1             MBCD_I1         ENZ_POC1_I1         ENZ_POC2_I1          ENZ_MOC_I1          CO2_TOT_I1              SOC_I2             POC1_I2             POC2_I2              MOC_I2              QOC_I2              DOC_I2              MBC_I2             MBCA_I2             MBCD_I2         ENZ_POC1_I2         ENZ_POC2_I2          ENZ_MOC_I2          CO2_TOT_I2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
         0           0.797E+01           0.996E+00           0.232E+01           0.460E+01           0.465E-01           0.100E+00           0.170E+00           0.170E-02           0.168E+00           0.300E-03           0.300E-03           0.300E-03           0.000E+00           0.797E+01           0.996E+00           0.232E+01           0.460E+01           0.465E-01           0.100E+00           0.170E+00           0.170E-02           0.168E+00           0.300E-03           0.300E-03           0.300E-03           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
  20180101        0.105917E+02        0.154000E+01        0.431833E+01        0.461875E+01        0.124362E+00        0.168167E+00        0.170958E+00        0.684208E-02        0.164167E+00        0.266917E-03        0.270125E-03        0.271792E-03        0.342124E-02        0.799542E+01        0.996000E+00        0.230667E+01        0.461250E+01        0.808667E-01        0.725625E-01        0.169250E+00        0.504167E-02        0.164167E+00        0.266583E-03        0.269042E-03        0.270375E-03        0.274724E-02        0.260208E+01        0.540000E+00        0.201167E+01        0.666833E-02        0.435204E-01        0.956708E-01        0.180496E-02        0.180496E-02        0.932488E-15        0.360278E-06        0.101269E-05        0.137202E-05        0.673110E-03
  20180102        0.106833E+02        0.154000E+01        0.426542E+01        0.464458E+01        0.216458E+00        0.891958E-01        0.174208E+00        0.157833E-01        0.158458E+00        0.217250E-03        0.233167E-03        0.242083E-03        0.143246E-01        0.801917E+01        0.996000E+00        0.227875E+01        0.462542E+01        0.120292E+00        0.415917E-01        0.168000E+00        0.981042E-02        0.158458E+00        0.214417E-03        0.225167E-03        0.231333E-03        0.100779E-01        0.264250E+01        0.540000E+00        0.198750E+01        0.190917E-01        0.962542E-01        0.476250E-01        0.597458E-02        0.597458E-02        0.828583E-14        0.284833E-05        0.794542E-05        0.108038E-04        0.425250E-02
  20180103        0.107000E+02        0.154000E+01        0.421792E+01        0.466833E+01        0.257708E+00        0.565708E-01        0.177625E+00        0.227375E-01        0.154958E+00        0.183417E-03        0.218625E-03        0.238417E-03        0.263792E-01        0.803000E+01        0.996000E+00        0.225250E+01        0.463750E+01        0.139167E+00        0.283458E-01        0.168333E+00        0.134792E-01        0.154958E+00        0.176167E-03        0.198333E-03        0.210667E-03        0.173875E-01        0.265000E+01        0.540000E+00        0.196500E+01        0.301625E-01        0.118667E+00        0.282333E-01        0.924708E-02        0.924708E-02        0.237458E-13        0.732000E-05        0.202708E-04        0.276042E-04        0.899750E-02
  20180104        0.107000E+02        0.154000E+01        0.417208E+01        0.469042E+01        0.278917E+00        0.436583E-01        0.181042E+00        0.285250E-01        0.152500E+00        0.161250E-03        0.218417E-03        0.251000E-03        0.380542E-01        0.802292E+01        0.996000E+00        0.222917E+01        0.464958E+01        0.149583E+00        0.228875E-01        0.169250E+00        0.167417E-01        0.152500E+00        0.148625E-03        0.183250E-03        0.203083E-03        0.242750E-01        0.265000E+01        0.540000E+00        0.194333E+01        0.408000E-01        0.129375E+00        0.207708E-01        0.117875E-01        0.117875E-01        0.455625E-13        0.127833E-04        0.351000E-04        0.478750E-04        0.138000E-01
  20180105        0.107000E+02        0.154000E+01        0.412583E+01        0.471292E+01        0.292083E+00        0.387875E-01        0.184458E+00        0.339792E-01        0.150500E+00        0.147625E-03        0.228125E-03        0.274792E-03        0.500833E-01        0.801875E+01        0.996000E+00        0.220375E+01        0.466208E+01        0.156375E+00        0.207500E-01        0.170375E+00        0.198958E-01        0.150500E+00        0.128958E-03        0.177167E-03        0.205042E-03        0.313625E-01        0.265000E+01        0.540000E+00        0.192167E+01        0.515917E-01        0.135625E+00        0.180375E-01        0.140833E-01        0.140833E-01        0.725375E-13        0.187250E-04        0.510125E-04        0.697292E-04        0.187417E-01
  20180106        0.106583E+02        0.154000E+01        0.407667E+01        0.473750E+01        0.301625E+00        0.371167E-01        0.188167E+00        0.395708E-01        0.148542E+00        0.140917E-03        0.245583E-03        0.307125E-03        0.632458E-01        0.801000E+01        0.996000E+00        0.217833E+01        0.467458E+01        0.161583E+00        0.200042E-01        0.171667E+00        0.231208E-01        0.148542E+00        0.115875E-03        0.178042E-03        0.214417E-03        0.390542E-01        0.264125E+01        0.540000E+00        0.189917E+01        0.629583E-01        0.140000E+00        0.171167E-01        0.164583E-01        0.164583E-01        0.104387E-12        0.250250E-04        0.676125E-04        0.926542E-04        0.242000E-01
  20180107        0.106000E+02        0.154000E+01        0.402417E+01        0.476250E+01        0.309708E+00        0.367167E-01        0.192375E+00        0.455958E-01        0.146792E+00        0.139583E-03        0.269500E-03        0.346833E-03        0.781375E-01        0.799917E+01        0.996000E+00        0.215000E+01        0.468708E+01        0.166042E+00        0.198375E-01        0.173417E+00        0.265208E-01        0.146792E+00        0.107958E-03        0.184458E-03        0.230042E-03        0.477458E-01        0.263333E+01        0.540000E+00        0.187458E+01        0.752208E-01        0.143625E+00        0.169000E-01        0.190708E-01        0.190708E-01        0.141125E-12        0.317833E-04        0.850583E-04        0.116792E-03        0.304000E-01
  20180108        0.106000E+02        0.154000E+01        0.396750E+01        0.479125E+01        0.317083E+00        0.368833E-01        0.197250E+00        0.522083E-01        0.145042E+00        0.143417E-03        0.299292E-03        0.393708E-03        0.952083E-01        0.798708E+01        0.996000E+00        0.211875E+01        0.470333E+01        0.170125E+00        0.199500E-01        0.175250E+00        0.302208E-01        0.145042E+00        0.104333E-03        0.195833E-03        0.251042E-03        0.576583E-01        0.262333E+01        0.540000E+00        0.184792E+01        0.886500E-01        0.146958E+00        0.169292E-01        0.219958E-01        0.219958E-01        0.183583E-12        0.390917E-04        0.103617E-03        0.142667E-03        0.375458E-01
  20180109        0.106000E+02        0.154000E+01        0.390250E+01        0.482250E+01        0.323958E+00        0.372417E-01        0.202833E+00        0.595542E-01        0.143333E+00        0.151583E-03        0.334875E-03        0.448000E-03        0.114833E+00        0.797417E+01        0.996000E+00        0.208500E+01        0.471833E+01        0.173917E+00        0.201708E-01        0.177542E+00        0.342708E-01        0.143333E+00        0.104417E-03        0.211333E-03        0.277167E-03        0.689958E-01        0.261208E+01        0.540000E+00        0.181792E+01        0.103408E+00        0.150000E+00        0.170750E-01        0.252792E-01        0.252792E-01        0.231958E-12        0.471625E-04        0.123542E-03        0.170708E-03        0.458375E-01
