 Simulation_Period = 20180101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day             POCdec1             POCdec2         POCdec2DOC1         POCdec2DOC2         POCdec2MOC1         POCdec2MOC2             MOC2DOC             QOC2DOC             DOC2QOC          DOC2QOCnet             DOC2MBC          CO2_growth          CO2_maintn     CO2_maintn_dorm              CO2_gm       MBC_mortality             MBC2EP1             MBC2EP2              MBC2EM              MBC_PM             EP2DOC1             EP2DOC2              EM2DOC             MBC2DOC             MBC2POC             MBA2MBD             MBD2MBA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  20180101        0.143833E-05        0.155542E-02        0.719375E-06        0.777750E-03        0.719375E-06        0.777750E-03        0.185625E-04        0.217667E-03        0.272667E-02        0.251000E-02        0.141025E-03        0.959958E-04        0.122546E-04        0.127708E-05        0.109583E-03        0.336833E-15        0.141354E-06        0.326708E-06        0.468125E-06        0.936708E-06        0.269083E-05        0.270750E-05        0.271917E-05        0.168388E-15        0.168388E-15        0.346542E-15        0.160292E-03
  20180102        0.115583E-05        0.126792E-02        0.577500E-06        0.634292E-03        0.577500E-06        0.634292E-03        0.156875E-04        0.338292E-03        0.160125E-02        0.126283E-02        0.181542E-03        0.123833E-03        0.157833E-04        0.125417E-05        0.140833E-03        0.665833E-15        0.282083E-06        0.642958E-06        0.925125E-06        0.185042E-05        0.215958E-05        0.223250E-05        0.228875E-05        0.332917E-15        0.332917E-15        0.712167E-15        0.987583E-04
  20180103        0.946500E-06        0.107958E-02        0.473042E-06        0.539750E-03        0.473042E-06        0.539750E-03        0.139792E-04        0.402208E-03        0.112617E-02        0.723958E-03        0.182917E-03        0.124375E-03        0.159000E-04        0.123708E-05        0.141583E-03        0.913625E-15        0.390292E-06        0.878833E-06        0.126917E-05        0.253875E-05        0.177042E-05        0.191833E-05        0.203417E-05        0.456708E-15        0.456708E-15        0.995833E-15        0.708667E-04
  20180104        0.793375E-06        0.958000E-03        0.396667E-06        0.478958E-03        0.396667E-06        0.478958E-03        0.131000E-04        0.441167E-03        0.914292E-03        0.473083E-03        0.185583E-03        0.126500E-03        0.161292E-04        0.122583E-05        0.143792E-03        0.112083E-14        0.482417E-06        0.107408E-05        0.155792E-05        0.311375E-05        0.148542E-05        0.171667E-05        0.190167E-05        0.560458E-15        0.560458E-15        0.123208E-14        0.579417E-04
  20180105        0.683583E-06        0.885042E-03        0.341792E-06        0.442542E-03        0.341792E-06        0.442542E-03        0.128125E-04        0.468125E-03        0.812750E-03        0.344917E-03        0.195208E-03        0.132917E-03        0.169667E-04        0.121542E-05        0.151167E-03        0.131083E-14        0.568292E-06        0.125375E-05        0.182125E-05        0.364333E-05        0.127917E-05        0.159875E-05        0.185583E-05        0.655500E-15        0.655500E-15        0.144875E-14        0.515833E-04
  20180106        0.607083E-06        0.848250E-03        0.303500E-06        0.424042E-03        0.303500E-06        0.424042E-03        0.129875E-04        0.488292E-03        0.760833E-03        0.272667E-03        0.210042E-03        0.143083E-03        0.182583E-04        0.120625E-05        0.162583E-03        0.149667E-14        0.652875E-06        0.142625E-05        0.207958E-05        0.415917E-05        0.113625E-05        0.154292E-05        0.187625E-05        0.748292E-15        0.748292E-15        0.165792E-14        0.482208E-04
  20180107        0.556625E-06        0.838667E-03        0.278250E-06        0.419250E-03        0.278250E-06        0.419250E-03        0.135125E-04        0.504792E-03        0.733625E-03        0.228708E-03        0.229000E-03        0.156000E-03        0.199042E-04        0.119750E-05        0.177125E-03        0.168417E-14        0.739250E-06        0.160042E-05        0.233958E-05        0.467917E-05        0.104125E-05        0.153583E-05        0.194833E-05        0.842125E-15        0.842125E-15        0.186667E-14        0.463792E-04
  20180108        0.527292E-06        0.850208E-03        0.263500E-06        0.425042E-03        0.263500E-06        0.425042E-03        0.143167E-04        0.518958E-03        0.719708E-03        0.200792E-03        0.251500E-03        0.171375E-03        0.218583E-04        0.118917E-05        0.194375E-03        0.187667E-14        0.829208E-06        0.177833E-05        0.260750E-05        0.521583E-05        0.985917E-06        0.156958E-05        0.206083E-05        0.938458E-15        0.938458E-15        0.208208E-14        0.453500E-04
  20180109        0.514500E-06        0.878417E-03        0.257375E-06        0.439167E-03        0.257375E-06        0.439167E-03        0.153625E-04        0.531500E-03        0.714000E-03        0.182417E-03        0.277333E-03        0.188917E-03        0.240917E-04        0.118000E-05        0.214208E-03        0.207833E-14        0.924458E-06        0.196292E-05        0.288792E-05        0.577500E-05        0.962625E-06        0.163333E-05        0.220750E-05        0.103925E-14        0.103925E-14        0.230667E-14        0.448333E-04
  20180110        0.515833E-06        0.920167E-03        0.258000E-06        0.459917E-03        0.258000E-06        0.459917E-03        0.166458E-04        0.543292E-03        0.713708E-03        0.170542E-03        0.306500E-03        0.208750E-03        0.266333E-04        0.117083E-05        0.236500E-03        0.229083E-14        0.102583E-05        0.215667E-05        0.318292E-05        0.636625E-05        0.965250E-06        0.172500E-05        0.238417E-05        0.114500E-14        0.114500E-14        0.254500E-14        0.446250E-04
