 Simulation_Period = 20180101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day               kPOC1               kPOC2                kMOC                kDOC                kMBa             kMBa_in                kMBd             kMBd_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE       Balance_Error              TOCbeg              TOCend              TOCinp              TOCout                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  20180101        0.144417E-05        0.674500E-03        0.402625E-05        0.197950E-02        0.284292E-01        0.849500E-01        0.970417E-03        0.208779E-14        0.648292E-03        0.827208E-03        0.109221E+00        0.237250E-01        0.215958E+00        0.233625E-16        0.824000E+01        0.824000E+01        0.000000E+00        0.109583E-03
  20180102        0.115917E-05        0.558333E-03        0.338792E-05        0.406958E-02        0.179500E-01        0.358000E-01        0.612667E-03        0.436542E-14        0.833292E-03        0.106208E-02        0.686583E-01        0.466583E-01        0.214792E+00        0.505792E-16        0.824000E+01        0.823958E+01        0.000000E+00        0.140833E-03
  20180103        0.949750E-06        0.481167E-03        0.301250E-05        0.569125E-02        0.130917E-01        0.232917E-01        0.447333E-03        0.618208E-14        0.837333E-03        0.106125E-02        0.498833E-01        0.636667E-01        0.211250E+00       -0.955946E-16        0.823000E+01        0.823000E+01        0.000000E+00        0.141583E-03
  20180104        0.796750E-06        0.431708E-03        0.281458E-05        0.704667E-02        0.108625E-01        0.181625E-01        0.370667E-03        0.772708E-14        0.849000E-03        0.107250E-02        0.411792E-01        0.777000E-01        0.208583E+00        0.110846E-15        0.823000E+01        0.823000E+01        0.000000E+00        0.143792E-03
  20180105        0.686417E-06        0.402750E-03        0.274667E-05        0.828000E-02        0.977042E-02        0.157083E-01        0.333583E-03        0.915667E-14        0.889625E-03        0.112167E-02        0.369750E-01        0.904000E-01        0.207083E+00       -0.732083E-16        0.822875E+01        0.822833E+01        0.000000E+00        0.151167E-03
  20180106        0.609458E-06        0.389792E-03        0.277750E-05        0.947000E-02        0.922208E-02        0.144042E-01        0.314833E-03        0.105596E-13        0.952875E-03        0.120083E-02        0.348417E-01        0.102504E+00        0.206167E+00        0.110750E-15        0.822000E+01        0.822000E+01        0.000000E+00        0.162583E-03
  20180107        0.558917E-06        0.389000E-03        0.288375E-05        0.106542E-01        0.894083E-02        0.136333E-01        0.305208E-03        0.119792E-13        0.103275E-02        0.130083E-02        0.337625E-01        0.114708E+00        0.206000E+00       -0.254167E-17        0.822000E+01        0.822000E+01        0.000000E+00        0.177125E-03
  20180108        0.529333E-06        0.398000E-03        0.304958E-05        0.119000E-01        0.881125E-02        0.131833E-01        0.300750E-03        0.134542E-13        0.112583E-02        0.141833E-02        0.332542E-01        0.127000E+00        0.206333E+00        0.104150E-15        0.821292E+01        0.821250E+01        0.000000E+00        0.194375E-03
  20180109        0.516583E-06        0.415333E-03        0.326542E-05        0.131792E-01        0.877333E-02        0.129208E-01        0.299417E-03        0.150042E-13        0.123208E-02        0.155333E-02        0.331000E-01        0.139667E+00        0.207000E+00       -0.466667E-16        0.821000E+01        0.821000E+01        0.000000E+00        0.214208E-03
  20180110        0.518042E-06        0.439417E-03        0.352875E-05        0.145208E-01        0.879708E-02        0.127792E-01        0.300333E-03        0.166667E-13        0.135000E-02        0.170250E-02        0.332000E-01        0.152625E+00        0.207167E+00        0.523125E-16        0.820292E+01        0.820250E+01        0.000000E+00        0.236500E-03
