 Simulation_Period = 20180101 -- 20181231
       Day                         AVG & STDDEV for VAR[1:n]
  20180101            0.001223            0.000787
  20180102            0.004378            0.000978
  20180103            0.007778            0.000980
  20180104            0.011193            0.000996
  20180105            0.014727            0.001047
  20180106            0.018490            0.001127
  20180107            0.022568            0.001228
  20180108            0.027029            0.001348
  20180109            0.031937            0.001485
  20180110            0.037352            0.001641
  20180111            0.043337            0.001815
  20180112            0.049958            0.002007
  20180113            0.057279            0.002219
  20180114            0.065369            0.002450
  20180115            0.074295            0.002701
  20180116            0.084125            0.002972
  20180117            0.094926            0.003261
  20180118            0.106761            0.003569
  20180119            0.119691            0.003893
  20180120            0.133770            0.004231
  20180121            0.149044            0.004582
  20180122            0.165550            0.004941
  20180123            0.183313            0.005306
  20180124            0.202342            0.005671
  20180125            0.222633            0.006033
  20180126            0.244161            0.006384
  20180127            0.266884            0.006721
  20180128            0.290738            0.007036
  20180129            0.315641            0.007325
  20180130            0.341489            0.007581
  20180131            0.368161            0.007800
  20180201            0.395520            0.007976
  20180202            0.423414            0.008108
  20180203            0.451683            0.008193
  20180204            0.480164            0.008230
  20180205            0.508691            0.008220
  20180206            0.537103            0.008164
  20180207            0.565250            0.008067
  20180208            0.592993            0.007932
  20180209            0.620211            0.007764
  20180210            0.646799            0.007570
  20180211            0.672676            0.007354
  20180212            0.697776            0.007123
  20180213            0.722057            0.006882
  20180214            0.745492            0.006636
  20180215            0.768073            0.006390
  20180216            0.789803            0.006146
  20180217            0.810699            0.005909
  20180218            0.830786            0.005680
  20180219            0.850095            0.005460
  20180220            0.868663            0.005252
  20180221            0.886530            0.005056
  20180222            0.903737            0.004872
  20180223            0.920326            0.004699
  20180224            0.936337            0.004538
  20180225            0.951810            0.004389
  20180226            0.966783            0.004250
  20180227            0.981293            0.004121
  20180228            0.995372            0.004002
  20180301            1.009052            0.003891
  20180302            1.022364            0.003789
  20180303            1.035333            0.003694
  20180304            1.047985            0.003606
  20180305            1.060343            0.003524
  20180306            1.072428            0.003448
  20180307            1.084260            0.003378
  20180308            1.095856            0.003312
  20180309            1.107233            0.003251
  20180310            1.118407            0.003195
  20180311            1.129390            0.003142
  20180312            1.140196            0.003092
  20180313            1.150836            0.003046
  20180314            1.161322            0.003003
  20180315            1.171664            0.002963
  20180316            1.181869            0.002925
  20180317            1.191949            0.002890
  20180318            1.201909            0.002856
  20180319            1.211758            0.002825
  20180320            1.221502            0.002796
  20180321            1.231148            0.002769
  20180322            1.240702            0.002743
  20180323            1.250169            0.002718
  20180324            1.259554            0.002696
  20180325            1.268862            0.002674
  20180326            1.278098            0.002654
  20180327            1.287265            0.002635
  20180328            1.296368            0.002617
  20180329            1.305410            0.002600
  20180330            1.314395            0.002583
  20180331            1.323326            0.002568
  20180401            1.332205            0.002554
  20180402            1.341036            0.002540
  20180403            1.349822            0.002528
  20180404            1.358564            0.002515
  20180405            1.367265            0.002504
  20180406            1.375928            0.002493
  20180407            1.384554            0.002483
  20180408            1.393145            0.002473
  20180409            1.401704            0.002464
  20180410            1.410231            0.002455
  20180411            1.418729            0.002447
  20180412            1.427199            0.002439
  20180413            1.435642            0.002432
  20180414            1.444060            0.002424
  20180415            1.452454            0.002418
  20180416            1.460825            0.002411
  20180417            1.469174            0.002405
  20180418            1.477503            0.002399
  20180419            1.485812            0.002394
  20180420            1.494103            0.002389
  20180421            1.502375            0.002384
  20180422            1.510631            0.002379
  20180423            1.518871            0.002374
  20180424            1.527095            0.002370
  20180425            1.535304            0.002366
  20180426            1.543499            0.002362
  20180427            1.551681            0.002358
  20180428            1.559850            0.002354
  20180429            1.568006            0.002351
  20180430            1.576151            0.002347
  20180501            1.584284            0.002344
  20180502            1.592406            0.002341
  20180503            1.600518            0.002338
  20180504            1.608620            0.002335
  20180505            1.616712            0.002333
  20180506            1.624795            0.002330
  20180507            1.632868            0.002327
  20180508            1.640933            0.002325
  20180509            1.648990            0.002323
  20180510            1.657038            0.002320
  20180511            1.665079            0.002318
  20180512            1.673112            0.002316
  20180513            1.681137            0.002314
  20180514            1.689155            0.002312
  20180515            1.697166            0.002310
  20180516            1.705171            0.002308
  20180517            1.713168            0.002306
  20180518            1.721160            0.002304
  20180519            1.729144            0.002302
  20180520            1.737123            0.002300
  20180521            1.745096            0.002299
  20180522            1.753062            0.002297
  20180523            1.761023            0.002295
  20180524            1.768978            0.002294
  20180525            1.776927            0.002292
  20180526            1.784871            0.002290
  20180527            1.792809            0.002289
  20180528            1.800742            0.002287
  20180529            1.808669            0.002286
  20180530            1.816591            0.002284
  20180531            1.824508            0.002283
  20180601            1.832420            0.002281
  20180602            1.840326            0.002280
  20180603            1.848228            0.002278
  20180604            1.856124            0.002277
  20180605            1.864015            0.002275
  20180606            1.871902            0.002274
  20180607            1.879783            0.002272
  20180608            1.887659            0.002271
  20180609            1.895530            0.002270
  20180610            1.903397            0.002268
  20180611            1.911258            0.002267
  20180612            1.919114            0.002265
  20180613            1.926966            0.002264
  20180614            1.934812            0.002262
  20180615            1.942653            0.002261
  20180616            1.950490            0.002260
  20180617            1.958321            0.002258
  20180618            1.966148            0.002257
  20180619            1.973970            0.002255
  20180620            1.981786            0.002254
  20180621            1.989598            0.002252
  20180622            1.997404            0.002251
  20180623            2.005206            0.002249
  20180624            2.013002            0.002248
  20180625            2.020793            0.002246
  20180626            2.028579            0.002245
  20180627            2.036360            0.002243
  20180628            2.044136            0.002242
  20180629            2.051907            0.002240
  20180630            2.059672            0.002239
  20180701            2.067432            0.002237
  20180702            2.075187            0.002236
  20180703            2.082937            0.002234
  20180704            2.090681            0.002233
  20180705            2.098420            0.002231
  20180706            2.106153            0.002230
  20180707            2.113881            0.002228
  20180708            2.121603            0.002227
  20180709            2.129320            0.002225
  20180710            2.137032            0.002223
  20180711            2.144737            0.002222
  20180712            2.152438            0.002220
  20180713            2.160132            0.002218
  20180714            2.167821            0.002217
  20180715            2.175504            0.002215
  20180716            2.183181            0.002213
  20180717            2.190853            0.002212
  20180718            2.198518            0.002210
  20180719            2.206178            0.002208
  20180720            2.213832            0.002207
  20180721            2.221480            0.002205
  20180722            2.229122            0.002203
  20180723            2.236758            0.002201
  20180724            2.244387            0.002200
  20180725            2.252011            0.002198
  20180726            2.259629            0.002196
  20180727            2.267240            0.002194
  20180728            2.274845            0.002193
  20180729            2.282444            0.002191
  20180730            2.290036            0.002189
  20180731            2.297622            0.002187
  20180801            2.305202            0.002185
  20180802            2.312775            0.002183
  20180803            2.320342            0.002181
  20180804            2.327902            0.002180
  20180805            2.335456            0.002178
  20180806            2.343003            0.002176
  20180807            2.350543            0.002174
  20180808            2.358077            0.002172
  20180809            2.365604            0.002170
  20180810            2.373124            0.002168
  20180811            2.380637            0.002166
  20180812            2.388144            0.002164
  20180813            2.395644            0.002162
  20180814            2.403136            0.002160
  20180815            2.410622            0.002158
  20180816            2.418101            0.002156
  20180817            2.425573            0.002154
  20180818            2.433037            0.002152
  20180819            2.440495            0.002150
  20180820            2.447945            0.002148
  20180821            2.455389            0.002146
  20180822            2.462824            0.002144
  20180823            2.470253            0.002142
  20180824            2.477675            0.002139
  20180825            2.485089            0.002137
  20180826            2.492495            0.002135
  20180827            2.499894            0.002133
  20180828            2.507286            0.002131
  20180829            2.514670            0.002129
  20180830            2.522047            0.002127
  20180831            2.529416            0.002124
  20180901            2.536778            0.002122
  20180902            2.544131            0.002120
  20180903            2.551478            0.002118
  20180904            2.558816            0.002115
  20180905            2.566147            0.002113
  20180906            2.573470            0.002111
  20180907            2.580785            0.002109
  20180908            2.588092            0.002106
  20180909            2.595391            0.002104
  20180910            2.602682            0.002102
  20180911            2.609966            0.002100
  20180912            2.617241            0.002097
  20180913            2.624508            0.002095
  20180914            2.631768            0.002093
  20180915            2.639019            0.002090
  20180916            2.646262            0.002088
  20180917            2.653497            0.002086
  20180918            2.660723            0.002083
  20180919            2.667942            0.002081
  20180920            2.675152            0.002078
  20180921            2.682353            0.002076
  20180922            2.689547            0.002074
  20180923            2.696732            0.002071
  20180924            2.703908            0.002069
  20180925            2.711077            0.002066
  20180926            2.718236            0.002064
  20180927            2.725388            0.002061
  20180928            2.732530            0.002059
  20180929            2.739664            0.002056
  20180930            2.746790            0.002054
  20181001            2.753907            0.002051
  20181002            2.761015            0.002049
  20181003            2.768115            0.002046
  20181004            2.775205            0.002044
  20181005            2.782288            0.002041
  20181006            2.789361            0.002039
  20181007            2.796425            0.002036
  20181008            2.803481            0.002034
  20181009            2.810528            0.002031
  20181010            2.817566            0.002029
  20181011            2.824595            0.002026
  20181012            2.831615            0.002023
  20181013            2.838626            0.002021
  20181014            2.845628            0.002018
  20181015            2.852621            0.002016
  20181016            2.859605            0.002013
  20181017            2.866580            0.002010
  20181018            2.873546            0.002008
  20181019            2.880503            0.002005
  20181020            2.887451            0.002003
  20181021            2.894389            0.002000
  20181022            2.901318            0.001997
  20181023            2.908238            0.001995
  20181024            2.915149            0.001992
  20181025            2.922050            0.001989
  20181026            2.928943            0.001987
  20181027            2.935825            0.001984
  20181028            2.942699            0.001981
  20181029            2.949563            0.001978
  20181030            2.956418            0.001976
  20181031            2.963263            0.001973
  20181101            2.970099            0.001970
  20181102            2.976925            0.001968
  20181103            2.983742            0.001965
  20181104            2.990549            0.001962
  20181105            2.997347            0.001959
  20181106            3.004135            0.001957
  20181107            3.010914            0.001954
  20181108            3.017683            0.001951
  20181109            3.024442            0.001948
  20181110            3.031192            0.001945
  20181111            3.037932            0.001943
  20181112            3.044663            0.001940
  20181113            3.051384            0.001937
  20181114            3.058095            0.001934
  20181115            3.064796            0.001931
  20181116            3.071488            0.001929
  20181117            3.078169            0.001926
  20181118            3.084842            0.001923
  20181119            3.091504            0.001920
  20181120            3.098156            0.001917
  20181121            3.104799            0.001914
  20181122            3.111431            0.001912
  20181123            3.118054            0.001909
  20181124            3.124667            0.001906
  20181125            3.131270            0.001903
  20181126            3.137863            0.001900
  20181127            3.144446            0.001897
  20181128            3.151019            0.001894
  20181129            3.157582            0.001892
  20181130            3.164135            0.001889
  20181201            3.170678            0.001886
  20181202            3.177211            0.001883
  20181203            3.183734            0.001880
  20181204            3.190247            0.001877
  20181205            3.196750            0.001874
  20181206            3.203243            0.001871
  20181207            3.209725            0.001868
  20181208            3.216198            0.001865
  20181209            3.222660            0.001862
  20181210            3.229113            0.001860
  20181211            3.235555            0.001857
  20181212            3.241987            0.001854
  20181213            3.248408            0.001851
  20181214            3.254820            0.001848
  20181215            3.261221            0.001845
  20181216            3.267612            0.001842
  20181217            3.273993            0.001839
  20181218            3.280364            0.001836
  20181219            3.286724            0.001833
  20181220            3.293074            0.001830
  20181221            3.299414            0.001827
  20181222            3.305744            0.001824
  20181223            3.312063            0.001821
  20181224            3.318372            0.001818
  20181225            3.324670            0.001815
  20181226            3.330958            0.001812
  20181227            3.337236            0.001809
  20181228            3.343504            0.001806
  20181229            3.349761            0.001803
  20181230            3.356008            0.001800
  20181231            3.362244            0.001797
