 Simulation_Period = 20180101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day                 SOC                POC1                POC2                 MOC                 QOC                 DOC                 MBC                MBCA                MBCD            ENZ_POC1            ENZ_POC2             ENZ_MOC             CO2_TOT              SOC_I1             POC1_I1             POC2_I1              MOC_I1              QOC_I1              DOC_I1              MBC_I1             MBCA_I1             MBCD_I1         ENZ_POC1_I1         ENZ_POC2_I1          ENZ_MOC_I1          CO2_TOT_I1              SOC_I2             POC1_I2             POC2_I2              MOC_I2              QOC_I2              DOC_I2              MBC_I2             MBCA_I2             MBCD_I2         ENZ_POC1_I2         ENZ_POC2_I2          ENZ_MOC_I2          CO2_TOT_I2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
         0           0.797E+01           0.996E+00           0.232E+01           0.460E+01           0.465E-01           0.100E+00           0.170E+00           0.170E-02           0.168E+00           0.300E-03           0.300E-03           0.300E-03           0.000E+00           0.797E+01           0.996E+00           0.232E+01           0.460E+01           0.465E-01           0.100E+00           0.170E+00           0.170E-02           0.168E+00           0.300E-03           0.300E-03           0.300E-03           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
  20180101        0.799500E+01        0.996000E+00        0.230417E+01        0.461375E+01        0.815333E-01        0.738000E-01        0.170292E+00        0.423458E-02        0.166083E+00        0.266542E-03        0.268375E-03        0.269667E-03        0.122170E-02        0.799500E+01        0.996000E+00        0.230417E+01        0.461375E+01        0.815333E-01        0.738000E-01        0.170292E+00        0.423458E-02        0.166083E+00        0.266542E-03        0.268375E-03        0.269667E-03        0.122170E-02        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20180102        0.801958E+01        0.996000E+00        0.227042E+01        0.462958E+01        0.124042E+00        0.445750E-01        0.171208E+00        0.812708E-02        0.163083E+00        0.214083E-03        0.221667E-03        0.227500E-03        0.437875E-02        0.801958E+01        0.996000E+00        0.227042E+01        0.462958E+01        0.124042E+00        0.445750E-01        0.171208E+00        0.812708E-02        0.163083E+00        0.214083E-03        0.221667E-03        0.227500E-03        0.437875E-02        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20180103        0.803000E+01        0.996000E+00        0.224208E+01        0.464375E+01        0.146792E+00        0.319375E-01        0.172125E+00        0.110733E-01        0.161083E+00        0.175667E-03        0.190792E-03        0.202667E-03        0.777750E-02        0.803000E+01        0.996000E+00        0.224208E+01        0.464375E+01        0.146792E+00        0.319375E-01        0.172125E+00        0.110733E-01        0.161083E+00        0.175667E-03        0.190792E-03        0.202667E-03        0.777750E-02        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20180104        0.803000E+01        0.996000E+00        0.221833E+01        0.465500E+01        0.160750E+00        0.262375E-01        0.173042E+00        0.135500E-01        0.159500E+00        0.147542E-03        0.171000E-03        0.189833E-03        0.111933E-01        0.803000E+01        0.996000E+00        0.221833E+01        0.465500E+01        0.160750E+00        0.262375E-01        0.173042E+00        0.135500E-01        0.159500E+00        0.147542E-03        0.171000E-03        0.189833E-03        0.111933E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20180105        0.803000E+01        0.996000E+00        0.219625E+01        0.466583E+01        0.170250E+00        0.235167E-01        0.174000E+00        0.158125E-01        0.158250E+00        0.127208E-03        0.159542E-03        0.185542E-03        0.147208E-01        0.803000E+01        0.996000E+00        0.219625E+01        0.466583E+01        0.170250E+00        0.235167E-01        0.174000E+00        0.158125E-01        0.158250E+00        0.127208E-03        0.159542E-03        0.185542E-03        0.147208E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20180106        0.802458E+01        0.996000E+00        0.217542E+01        0.467583E+01        0.177583E+00        0.221583E-01        0.175042E+00        0.180500E-01        0.157000E+00        0.113125E-03        0.154167E-03        0.187833E-03        0.184917E-01        0.802458E+01        0.996000E+00        0.217542E+01        0.467583E+01        0.177583E+00        0.221583E-01        0.175042E+00        0.180500E-01        0.157000E+00        0.113125E-03        0.154167E-03        0.187833E-03        0.184917E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20180107        0.802000E+01        0.996000E+00        0.215500E+01        0.468583E+01        0.183542E+00        0.214583E-01        0.176167E+00        0.202958E-01        0.155792E+00        0.103833E-03        0.153667E-03        0.195208E-03        0.225708E-01        0.802000E+01        0.996000E+00        0.215500E+01        0.468583E+01        0.183542E+00        0.214583E-01        0.176167E+00        0.202958E-01        0.155792E+00        0.103833E-03        0.153667E-03        0.195208E-03        0.225708E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20180108        0.801500E+01        0.996000E+00        0.213500E+01        0.469542E+01        0.188708E+00        0.211375E-01        0.177333E+00        0.226500E-01        0.154667E+00        0.984208E-04        0.157167E-03        0.206625E-03        0.270292E-01        0.801500E+01        0.996000E+00        0.213500E+01        0.469542E+01        0.188708E+00        0.211375E-01        0.177333E+00        0.226500E-01        0.154667E+00        0.984208E-04        0.157167E-03        0.206625E-03        0.270292E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20180109        0.801000E+01        0.996000E+00        0.211417E+01        0.470542E+01        0.193167E+00        0.210250E-01        0.178583E+00        0.250500E-01        0.153583E+00        0.962250E-04        0.163667E-03        0.221417E-03        0.319292E-01        0.801000E+01        0.996000E+00        0.211417E+01        0.470542E+01        0.193167E+00        0.210250E-01        0.178583E+00        0.250500E-01        0.153583E+00        0.962250E-04        0.163667E-03        0.221417E-03        0.319292E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
