 Simulation_Period = 20180101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon                 SOC                POC1                POC2                 MOC                 QOC                 DOC                 MBC                MBCA                MBCD            ENZ_POC1            ENZ_POC2             ENZ_MOC             CO2_TOT              SOC_I1             POC1_I1             POC2_I1              MOC_I1              QOC_I1              DOC_I1              MBC_I1             MBCA_I1             MBCD_I1         ENZ_POC1_I1         ENZ_POC2_I1          ENZ_MOC_I1          CO2_TOT_I1              SOC_I2             POC1_I2             POC2_I2              MOC_I2              QOC_I2              DOC_I2              MBC_I2             MBCA_I2             MBCD_I2         ENZ_POC1_I2         ENZ_POC2_I2          ENZ_MOC_I2          CO2_TOT_I2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
         0           0.797E+01           0.996E+00           0.232E+01           0.460E+01           0.465E-01           0.100E+00           0.170E+00           0.170E-02           0.168E+00           0.300E-03           0.300E-03           0.300E-03           0.000E+00           0.797E+01           0.996E+00           0.232E+01           0.460E+01           0.465E-01           0.100E+00           0.170E+00           0.170E-02           0.168E+00           0.300E-03           0.300E-03           0.300E-03           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
    201801       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201802       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201803       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201804       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201805       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201806       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201807       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201808       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201809       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
