 Simulation_Period = 20180101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day             POCdec1             POCdec2         POCdec2DOC1         POCdec2DOC2         POCdec2MOC1         POCdec2MOC2             MOC2DOC             QOC2DOC             DOC2QOC          DOC2QOCnet             DOC2MBC          CO2_growth          CO2_maintn     CO2_maintn_dorm              CO2_gm       MBC_mortality             MBC2EP1             MBC2EP2              MBC2EM              MBC_PM             EP2DOC1             EP2DOC2              EM2DOC             MBC2DOC             MBC2POC             MBA2MBD             MBD2MBA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  20180101        0.319250E-05        0.283708E-02        0.159583E-05        0.141792E-02        0.159583E-05        0.141792E-02        0.252250E-04        0.342625E-03        0.601167E-02        0.566875E-02        0.444621E-03        0.302808E-03        0.386350E-04        0.126292E-05        0.342821E-03        0.539958E-15        0.199171E-06        0.550917E-06        0.750000E-06        0.149950E-05        0.269417E-05        0.272292E-05        0.273833E-05        0.269833E-15        0.269833E-15        0.493000E-15        0.312000E-03
  20180102        0.263583E-05        0.245792E-02        0.131750E-05        0.123000E-02        0.131750E-05        0.123000E-02        0.225292E-04        0.611292E-03        0.323667E-02        0.262583E-02        0.699042E-03        0.476083E-03        0.607500E-04        0.121625E-05        0.538208E-03        0.131496E-14        0.488667E-06        0.133783E-05        0.182625E-05        0.365292E-05        0.219125E-05        0.234375E-05        0.243083E-05        0.657208E-15        0.657208E-15        0.130883E-14        0.188208E-03
  20180103        0.222875E-05        0.228750E-02        0.111417E-05        0.114333E-02        0.111417E-05        0.114333E-02        0.223458E-04        0.736875E-03        0.205000E-02        0.131225E-02        0.714917E-03        0.486958E-03        0.621167E-04        0.118833E-05        0.550250E-03        0.194333E-14        0.729250E-06        0.197208E-05        0.270042E-05        0.540000E-05        0.185333E-05        0.219833E-05        0.239875E-05        0.971500E-15        0.971500E-15        0.202625E-14        0.125458E-03
  20180104        0.196583E-05        0.228083E-02        0.983958E-06        0.114000E-02        0.983958E-06        0.114000E-02        0.238250E-04        0.803958E-03        0.157750E-02        0.773333E-03        0.732917E-03        0.499292E-03        0.636958E-04        0.116708E-05        0.564167E-03        0.248625E-14        0.941000E-06        0.251333E-05        0.345458E-05        0.690833E-05        0.163542E-05        0.220875E-05        0.254417E-05        0.124333E-14        0.124333E-14        0.264500E-14        0.982458E-04
  20180105        0.181417E-05        0.238583E-02        0.907000E-06        0.119292E-02        0.907000E-06        0.119292E-02        0.265292E-04        0.846792E-03        0.139458E-02        0.547375E-03        0.800125E-03        0.545125E-03        0.695375E-04        0.115042E-05        0.615708E-03        0.300833E-14        0.114917E-05        0.303083E-05        0.417917E-05        0.836000E-05        0.150875E-05        0.233000E-05        0.281667E-05        0.150417E-14        0.150417E-14        0.322458E-14        0.872125E-04
  20180106        0.174875E-05        0.257708E-02        0.874792E-06        0.128708E-02        0.874792E-06        0.128708E-02        0.301875E-04        0.879417E-03        0.132708E-02        0.447625E-03        0.910875E-03        0.620333E-03        0.791542E-04        0.113458E-05        0.700667E-03        0.355458E-14        0.137042E-05        0.356667E-05        0.493833E-05        0.987375E-05        0.145542E-05        0.253667E-05        0.319000E-05        0.177667E-14        0.177667E-14        0.381917E-14        0.828167E-04
  20180107        0.175917E-05        0.283500E-02        0.879667E-06        0.141792E-02        0.879667E-06        0.141792E-02        0.347583E-04        0.907417E-03        0.130708E-02        0.399542E-03        0.105762E-02        0.720083E-03        0.918458E-04        0.111917E-05        0.812958E-03        0.415000E-14        0.162000E-05        0.414708E-05        0.576750E-05        0.115375E-04        0.146208E-05        0.281875E-05        0.365083E-05        0.207500E-14        0.207500E-14        0.446125E-14        0.811583E-04
  20180108        0.183458E-05        0.315417E-02        0.917500E-06        0.157708E-02        0.917500E-06        0.157708E-02        0.402708E-04        0.932792E-03        0.130583E-02        0.372583E-03        0.123458E-02        0.841333E-03        0.107312E-03        0.110458E-05        0.949708E-03        0.481708E-14        0.190167E-05        0.478958E-05        0.669333E-05        0.133875E-04        0.152583E-05        0.317167E-05        0.420208E-05        0.240750E-14        0.240750E-14        0.517458E-14        0.806208E-04
  20180109        0.197292E-05        0.353000E-02        0.986292E-06        0.176500E-02        0.986292E-06        0.176500E-02        0.467833E-04        0.956792E-03        0.131000E-02        0.353833E-03        0.144667E-02        0.984500E-03        0.125542E-03        0.108917E-05        0.111125E-02        0.556667E-14        0.222875E-05        0.550583E-05        0.773500E-05        0.154792E-04        0.164042E-05        0.359417E-05        0.484375E-05        0.278375E-14        0.278375E-14        0.597667E-14        0.804917E-04
  20180110        0.217167E-05        0.395792E-02        0.108583E-05        0.197875E-02        0.108583E-05        0.197875E-02        0.543750E-04        0.979708E-03        0.131792E-02        0.336542E-03        0.168792E-02        0.114875E-02        0.146708E-03        0.107458E-05        0.129625E-02        0.641750E-14        0.261083E-05        0.630708E-05        0.891875E-05        0.178583E-04        0.180625E-05        0.408708E-05        0.558792E-05        0.320833E-14        0.320833E-14        0.688375E-14        0.803667E-04
