 Data_Period = 20180101 -- 20180131
      Hour        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH
2018010101            2.700000           25.000000         -999.000000           -0.000726            7.200000
2018010102            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010103            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010104            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010105            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010106            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010107            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010108            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010109            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010110            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010111            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010112            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010113            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010114            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010115            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010116            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010117            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010118            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010119            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010120            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010121            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010122            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010123            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010124            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010201            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010202            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010203            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010204            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010205            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010206            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010207            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010208            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010209            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010210            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010211            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010212            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010213            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010214            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010215            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010216            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010217            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010218            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010219            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010220            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010221            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010222            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010223            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010224            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010301            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010302            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010303            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010304            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010305            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010306            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010307            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010308            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010309            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010310            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010311            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010312            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010313            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010314            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010315            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010316            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010317            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010318            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010319            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010320            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010321            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010322            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010323            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010324            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010401            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010402            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010403            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010404            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010405            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010406            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010407            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010408            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010409            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010410            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010411            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010412            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010413            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010414            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010415            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010416            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010417            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010418            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010419            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010420            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010421            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010422            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010423            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010424            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010501            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010502            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010503            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010504            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010505            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010506            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010507            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010508            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010509            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010510            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010511            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010512            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010513            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010514            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018010515            0.000000           25.000000         -999.000000           -0.000726            7.200000
