 Simulation_Period = 20180101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day               kPOC1               kPOC2                kMOC                kDOC                kMBa             kMBa_in                kMBd             kMBd_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE       Balance_Error              TOCbeg              TOCend              TOCinp              TOCout                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  20180101        0.196458E-05        0.634333E-03        0.490417E-05        0.281758E-02        0.556875E-01        0.140254E+00        0.190125E-02        0.301692E-14        0.201046E-02        0.259792E-02        0.215000E+00        0.378375E-01        0.224875E+00       -0.159375E-15        0.117104E+02        0.118208E+02        0.112500E+00        0.342821E-03
  20180102        0.159708E-05        0.544125E-03        0.435417E-05        0.748042E-02        0.349750E-01        0.577375E-01        0.119517E-02        0.827667E-14        0.311042E-02        0.401208E-02        0.134667E+00        0.904417E-01        0.224958E+00       -0.166750E-15        0.118000E+02        0.118000E+02        0.000000E+00        0.538208E-03
  20180103        0.135042E-05        0.512792E-03        0.429583E-05        0.115771E-01        0.239625E-01        0.363375E-01        0.818125E-03        0.131083E-13        0.312208E-02        0.401542E-02        0.919417E-01        0.130875E+00        0.222708E+00        0.144829E-15        0.118000E+02        0.118000E+02        0.000000E+00        0.550250E-03
  20180104        0.119208E-05        0.517667E-03        0.455667E-05        0.151083E-01        0.191667E-01        0.279542E-01        0.654125E-03        0.174000E-13        0.313917E-02        0.403042E-02        0.733458E-01        0.164000E+00        0.220875E+00       -0.209917E-16        0.118000E+02        0.118000E+02        0.000000E+00        0.564167E-03
  20180105        0.109917E-05        0.548458E-03        0.504417E-05        0.184250E-01        0.172708E-01        0.246042E-01        0.589792E-03        0.215333E-13        0.335583E-02        0.430458E-02        0.660500E-01        0.194125E+00        0.220000E+00       -0.303208E-16        0.118000E+02        0.118000E+02        0.000000E+00        0.615708E-03
  20180106        0.106208E-05        0.600250E-03        0.571125E-05        0.218208E-01        0.166417E-01        0.233083E-01        0.568292E-03        0.258667E-13        0.373208E-02        0.478375E-02        0.636000E-01        0.224000E+00        0.220000E+00        0.935208E-16        0.118000E+02        0.118000E+02        0.000000E+00        0.700667E-03
  20180107        0.106667E-05        0.670708E-03        0.653667E-05        0.254958E-01        0.165167E-01        0.228583E-01        0.564542E-03        0.306417E-13        0.421542E-02        0.540500E-02        0.631875E-01        0.254625E+00        0.220000E+00        0.107726E-16        0.118000E+02        0.118000E+02        0.000000E+00        0.812958E-03
  20180108        0.111208E-05        0.759292E-03        0.752292E-05        0.295750E-01        0.166458E-01        0.228000E-01        0.568542E-03        0.360083E-13        0.477750E-02        0.612708E-02        0.636250E-01        0.286583E+00        0.220000E+00       -0.431667E-16        0.117125E+02        0.117083E+02        0.000000E+00        0.949708E-03
  20180109        0.119583E-05        0.866333E-03        0.867333E-05        0.341417E-01        0.168458E-01        0.228375E-01        0.575250E-03        0.421583E-13        0.539792E-02        0.692417E-02        0.643958E-01        0.320083E+00        0.220333E+00        0.353250E-16        0.117000E+02        0.117000E+02        0.000000E+00        0.111125E-02
  20180110        0.131667E-05        0.993042E-03        0.999833E-05        0.393375E-01        0.170583E-01        0.229500E-01        0.582417E-03        0.492417E-13        0.606000E-02        0.777583E-02        0.652125E-01        0.355000E+00        0.221000E+00       -0.132388E-15        0.117000E+02        0.117000E+02        0.000000E+00        0.129625E-02
  20180111        0.147625E-05        0.114125E-02        0.115375E-04        0.452167E-01        0.172417E-01        0.230458E-01        0.588583E-03        0.573958E-13        0.674333E-02        0.865583E-02        0.659083E-01        0.391000E+00        0.221000E+00       -0.661738E-16        0.116625E+02        0.116583E+02        0.000000E+00        0.150792E-02
  20180112        0.167792E-05        0.131375E-02        0.132750E-04        0.518750E-01        0.173583E-01        0.231000E-01        0.592625E-03        0.668083E-13        0.742708E-02        0.953542E-02        0.663667E-01        0.427708E+00        0.221000E+00        0.776087E-16        0.116000E+02        0.116000E+02        0.000000E+00        0.174500E-02
  20180113        0.192458E-05        0.151333E-02        0.152667E-04        0.594208E-01        0.174000E-01        0.230208E-01        0.593917E-03        0.775917E-13        0.808625E-02        0.103825E-01        0.665000E-01        0.464792E+00        0.221000E+00        0.148333E-16        0.115917E+02        0.115875E+02        0.000000E+00        0.199917E-02
  20180114        0.222333E-05        0.174125E-02        0.175500E-04        0.679125E-01        0.173333E-01        0.228292E-01        0.591625E-03        0.899625E-13        0.869375E-02        0.111667E-01        0.662542E-01        0.501583E+00        0.221000E+00       -0.322917E-16        0.115000E+02        0.115000E+02        0.000000E+00        0.227542E-02
  20180115        0.258167E-05        0.200042E-02        0.200792E-04        0.774250E-01        0.171500E-01        0.225250E-01        0.585708E-03        0.104042E-12        0.922417E-02        0.118417E-01        0.655750E-01        0.537708E+00        0.221000E+00        0.107621E-15        0.114708E+02        0.114667E+02        0.000000E+00        0.256542E-02
  20180116        0.301042E-05        0.229375E-02        0.229542E-04        0.880000E-01        0.168583E-01        0.220708E-01        0.575542E-03        0.119875E-12        0.964958E-02        0.123875E-01        0.644333E-01        0.572375E+00        0.221000E+00       -0.123417E-15        0.114000E+02        0.114000E+02        0.000000E+00        0.286125E-02
