 Simulation_Period = 20180101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day                 SOC                POC1                POC2                 MOC                 QOC                 DOC                 MBC                MBCA                MBCD            ENZ_POC1            ENZ_POC2             ENZ_MOC             CO2_TOT              SOC_I1             POC1_I1             POC2_I1              MOC_I1              QOC_I1              DOC_I1              MBC_I1             MBCA_I1             MBCD_I1         ENZ_POC1_I1         ENZ_POC2_I1          ENZ_MOC_I1          CO2_TOT_I1              SOC_I2             POC1_I2             POC2_I2              MOC_I2              QOC_I2              DOC_I2              MBC_I2             MBCA_I2             MBCD_I2         ENZ_POC1_I2         ENZ_POC2_I2          ENZ_MOC_I2          CO2_TOT_I2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
         0           0.888E+01           0.111E+01           0.259E+01           0.513E+01           0.518E-01           0.100E+00           0.170E+00           0.170E-02           0.168E+00           0.300E-03           0.300E-03           0.300E-03           0.000E+00           0.888E+01           0.111E+01           0.259E+01           0.513E+01           0.518E-01           0.100E+00           0.170E+00           0.170E-02           0.168E+00           0.300E-03           0.300E-03           0.300E-03           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
  20180101        0.114958E+02        0.165000E+01        0.457875E+01        0.514625E+01        0.130067E+00        0.170833E+00        0.170958E+00        0.689125E-02        0.164125E+00        0.266917E-03        0.270125E-03        0.271833E-03        0.346970E-02        0.890375E+01        0.111000E+01        0.256875E+01        0.513875E+01        0.864208E-01        0.744083E-01        0.169333E+00        0.507833E-02        0.164125E+00        0.266583E-03        0.269042E-03        0.270417E-03        0.278582E-02        0.260125E+01        0.540000E+00        0.201042E+01        0.746929E-02        0.436233E-01        0.964250E-01        0.181217E-02        0.181217E-02        0.932313E-15        0.364774E-06        0.101225E-05        0.137631E-05        0.683798E-03
  20180102        0.115958E+02        0.165000E+01        0.451500E+01        0.517708E+01        0.224542E+00        0.938500E-01        0.174375E+00        0.161083E-01        0.158250E+00        0.217417E-03        0.233375E-03        0.242500E-03        0.148508E-01        0.892667E+01        0.111000E+01        0.253375E+01        0.515542E+01        0.127542E+00        0.449625E-01        0.168000E+00        0.100758E-01        0.158250E+00        0.214625E-03        0.225375E-03        0.231542E-03        0.104500E-01        0.264083E+01        0.540000E+00        0.198167E+01        0.213583E-01        0.969708E-01        0.488958E-01        0.603792E-02        0.603792E-02        0.829500E-14        0.289917E-05        0.798542E-05        0.108829E-04        0.440792E-02
  20180103        0.116000E+02        0.165000E+01        0.445917E+01        0.520500E+01        0.268833E+00        0.614208E-01        0.178208E+00        0.236125E-01        0.154583E+00        0.184208E-03        0.219583E-03        0.240167E-03        0.280125E-01        0.893000E+01        0.111000E+01        0.250167E+01        0.517167E+01        0.148583E+00        0.319042E-01        0.168792E+00        0.141833E-01        0.154583E+00        0.176667E-03        0.199083E-03        0.212167E-03        0.185083E-01        0.265000E+01        0.540000E+00        0.195792E+01        0.337500E-01        0.120208E+00        0.295125E-01        0.942417E-02        0.942417E-02        0.238542E-13        0.749458E-05        0.204292E-04        0.279375E-04        0.951708E-02
  20180104        0.116000E+02        0.165000E+01        0.440458E+01        0.523125E+01        0.292667E+00        0.483250E-01        0.182000E+00        0.300875E-01        0.151917E+00        0.162875E-03        0.221208E-03        0.255333E-03        0.413375E-01        0.892917E+01        0.111000E+01        0.247125E+01        0.518542E+01        0.160875E+00        0.263333E-01        0.169875E+00        0.179917E-01        0.151917E+00        0.149792E-03        0.185583E-03        0.206583E-03        0.264917E-01        0.265000E+01        0.540000E+00        0.193375E+01        0.457500E-01        0.131667E+00        0.219833E-01        0.121042E-01        0.121042E-01        0.459583E-13        0.131625E-04        0.355792E-04        0.487375E-04        0.148458E-01
  20180105        0.116000E+02        0.165000E+01        0.434875E+01        0.525917E+01        0.308125E+00        0.433542E-01        0.186042E+00        0.363583E-01        0.149708E+00        0.150500E-03        0.233667E-03        0.283042E-03        0.554375E-01        0.892000E+01        0.111000E+01        0.243958E+01        0.520125E+01        0.169417E+00        0.241417E-01        0.171458E+00        0.217708E-01        0.149708E+00        0.131083E-03        0.181542E-03        0.211667E-03        0.349458E-01        0.264583E+01        0.540000E+00        0.190917E+01        0.580000E-01        0.138625E+00        0.192125E-01        0.145833E-01        0.145833E-01        0.734958E-13        0.194042E-04        0.519917E-04        0.714083E-04        0.205042E-01
  20180106        0.115333E+02        0.165000E+01        0.428958E+01        0.528750E+01        0.319792E+00        0.417083E-01        0.190500E+00        0.429292E-01        0.147667E+00        0.145458E-03        0.254708E-03        0.320750E-03        0.712208E-01        0.890833E+01        0.111000E+01        0.240625E+01        0.521667E+01        0.176208E+00        0.234125E-01        0.173333E+00        0.257083E-01        0.147667E+00        0.119292E-03        0.185333E-03        0.225125E-03        0.444208E-01        0.263792E+01        0.540000E+00        0.188250E+01        0.710625E-01        0.143583E+00        0.182958E-01        0.172125E-01        0.172125E-01        0.106225E-12        0.261292E-04        0.693750E-04        0.954375E-04        0.268208E-01
  20180107        0.115000E+02        0.165000E+01        0.422417E+01        0.531958E+01        0.329792E+00        0.414458E-01        0.195750E+00        0.501083E-01        0.145667E+00        0.146375E-03        0.283208E-03        0.367167E-03        0.893958E-01        0.889583E+01        0.111000E+01        0.236958E+01        0.523458E+01        0.182125E+00        0.233458E-01        0.175625E+00        0.299458E-01        0.145667E+00        0.113000E-03        0.195292E-03        0.245833E-03        0.552833E-01        0.262708E+01        0.540000E+00        0.185458E+01        0.852958E-01        0.147750E+00        0.181000E-01        0.201625E-01        0.201625E-01        0.144542E-12        0.334750E-04        0.878667E-04        0.121333E-03        0.341083E-01
  20180108        0.115000E+02        0.165000E+01        0.415292E+01        0.535458E+01        0.339125E+00        0.417833E-01        0.201833E+00        0.581333E-01        0.143667E+00        0.152958E-03        0.318792E-03        0.422708E-03        0.110663E+00        0.888083E+01        0.111000E+01        0.232958E+01        0.525333E+01        0.187542E+00        0.235833E-01        0.178250E+00        0.346208E-01        0.143667E+00        0.111250E-03        0.210917E-03        0.273208E-03        0.679292E-01        0.261542E+01        0.540000E+00        0.182333E+01        0.101058E+00        0.151542E+00        0.182000E-01        0.235167E-01        0.235167E-01        0.189083E-12        0.416000E-04        0.107812E-03        0.149458E-03        0.426292E-01
  20180109        0.114875E+02        0.165000E+01        0.407208E+01        0.539375E+01        0.347750E+00        0.423250E-01        0.208917E+00        0.671833E-01        0.141708E+00        0.164625E-03        0.361333E-03        0.487250E-03        0.135292E+00        0.886250E+01        0.111000E+01        0.228500E+01        0.527542E+01        0.192750E+00        0.239333E-01        0.181542E+00        0.398417E-01        0.141708E+00        0.113917E-03        0.231625E-03        0.306917E-03        0.826458E-01        0.260167E+01        0.540000E+00        0.178750E+01        0.118708E+00        0.155083E+00        0.183958E-01        0.273500E-01        0.273500E-01        0.240542E-12        0.507333E-04        0.129708E-03        0.180417E-03        0.526708E-01
