 Simulation_Period = 20180101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day             POCdec1             POCdec2         POCdec2DOC1         POCdec2DOC2         POCdec2MOC1         POCdec2MOC2             MOC2DOC             QOC2DOC             DOC2QOC          DOC2QOCnet             DOC2MBC          CO2_growth          CO2_maintn     CO2_maintn_dorm              CO2_gm       MBC_mortality             MBC2EP1             MBC2EP2              MBC2EM              MBC_PM             EP2DOC1             EP2DOC2              EM2DOC             MBC2DOC             MBC2POC             MBA2MBD             MBD2MBA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  20180101        0.218625E-05        0.193042E-02        0.109433E-05        0.964500E-03        0.109433E-05        0.964500E-03        0.250333E-04        0.233125E-03        0.279125E-02        0.255792E-02        0.146221E-03        0.997000E-04        0.127054E-04        0.127667E-05        0.113604E-03        0.340083E-15        0.142788E-06        0.329708E-06        0.472417E-06        0.945083E-06        0.269083E-05        0.270750E-05        0.271917E-05        0.170096E-15        0.170096E-15        0.348542E-15        0.164167E-03
  20180102        0.175625E-05        0.157500E-02        0.878125E-06        0.787042E-03        0.878125E-06        0.787042E-03        0.211792E-04        0.359458E-03        0.172958E-02        0.137000E-02        0.202125E-03        0.137667E-03        0.175792E-04        0.125208E-05        0.156625E-03        0.686667E-15        0.291417E-06        0.662667E-06        0.954500E-06        0.190875E-05        0.216125E-05        0.223500E-05        0.229125E-05        0.343333E-15        0.343333E-15        0.730292E-15        0.106479E-03
  20180103        0.144167E-05        0.134292E-02        0.720792E-06        0.671458E-03        0.720792E-06        0.671458E-03        0.189792E-04        0.430708E-03        0.126250E-02        0.831417E-03        0.215583E-03        0.146875E-03        0.187333E-04        0.123500E-05        0.166833E-03        0.962125E-15        0.412500E-06        0.925500E-06        0.133792E-05        0.267542E-05        0.177375E-05        0.192792E-05        0.204708E-05        0.481375E-15        0.481375E-15        0.104304E-14        0.791375E-04
  20180104        0.121333E-05        0.119917E-02        0.606958E-06        0.599750E-03        0.606958E-06        0.599750E-03        0.179625E-04        0.476333E-03        0.104279E-02        0.566625E-03        0.227250E-03        0.154792E-03        0.197583E-04        0.122208E-05        0.175750E-03        0.120333E-14        0.519917E-06        0.115167E-05        0.167208E-05        0.334375E-05        0.149583E-05        0.173625E-05        0.193125E-05        0.601625E-15        0.601625E-15        0.131625E-14        0.658417E-04
  20180105        0.105254E-05        0.111958E-02        0.526500E-06        0.559500E-03        0.526500E-06        0.559500E-03        0.177917E-04        0.508833E-03        0.933375E-03        0.424458E-03        0.244667E-03        0.166667E-03        0.212667E-04        0.120958E-05        0.189167E-03        0.142958E-14        0.622500E-06        0.136333E-05        0.198625E-05        0.397208E-05        0.129625E-05        0.163500E-05        0.191042E-05        0.714667E-15        0.714667E-15        0.157083E-14        0.590208E-04
  20180106        0.944667E-06        0.108417E-02        0.472333E-06        0.542833E-03        0.472333E-06        0.542833E-03        0.183042E-04        0.534125E-03        0.876125E-03        0.342083E-03        0.267958E-03        0.182500E-03        0.232792E-04        0.119875E-05        0.207000E-03        0.165333E-14        0.725417E-06        0.157250E-05        0.229792E-05        0.459542E-05        0.116333E-05        0.160042E-05        0.195958E-05        0.826833E-15        0.826833E-15        0.182083E-14        0.553458E-04
  20180107        0.877708E-06        0.108750E-02        0.438917E-06        0.544000E-03        0.438917E-06        0.544000E-03        0.193500E-04        0.554875E-03        0.846542E-03        0.291583E-03        0.296583E-03        0.202125E-03        0.257750E-04        0.118875E-05        0.228958E-03        0.188500E-14        0.832167E-06        0.178417E-05        0.261583E-05        0.523250E-05        0.108042E-05        0.161542E-05        0.206667E-05        0.941458E-15        0.941458E-15        0.207625E-14        0.533500E-04
  20180108        0.844125E-06        0.111833E-02        0.422167E-06        0.559208E-03        0.422167E-06        0.559208E-03        0.208333E-04        0.573083E-03        0.832917E-03        0.259875E-03        0.330667E-03        0.225208E-03        0.287333E-04        0.117875E-05        0.255167E-03        0.212500E-14        0.945083E-06        0.200375E-05        0.294875E-05        0.589750E-05        0.103875E-05        0.167583E-05        0.221917E-05        0.106042E-14        0.106042E-14        0.234083E-14        0.523042E-04
  20180109        0.838167E-06        0.117083E-02        0.418958E-06        0.585667E-03        0.418958E-06        0.585667E-03        0.227042E-04        0.589625E-03        0.829208E-03        0.239625E-03        0.370167E-03        0.252125E-03        0.321667E-04        0.116917E-05        0.285417E-03        0.237542E-14        0.106667E-05        0.223500E-05        0.330125E-05        0.660375E-05        0.103167E-05        0.177042E-05        0.241292E-05        0.118792E-14        0.118792E-14        0.262083E-14        0.518583E-04
  20180110        0.855500E-06        0.124208E-02        0.427667E-06        0.621292E-03        0.427667E-06        0.621292E-03        0.249500E-04        0.605000E-03        0.831708E-03        0.226708E-03        0.415167E-03        0.282833E-03        0.360875E-04        0.115958E-05        0.320125E-03        0.264750E-14        0.119833E-05        0.247917E-05        0.367792E-05        0.735625E-05        0.105292E-05        0.189583E-05        0.264500E-05        0.132375E-14        0.132375E-14        0.291958E-14        0.518000E-04
