 Simulation_Period = 20180101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Mon             POCdec1             POCdec2         POCdec2DOC1         POCdec2DOC2         POCdec2MOC1         POCdec2MOC2             MOC2DOC             QOC2DOC             DOC2QOC          DOC2QOCnet             DOC2MBC          CO2_growth          CO2_maintn     CO2_maintn_dorm              CO2_gm       MBC_mortality             MBC2EP1             MBC2EP2              MBC2EM              MBC_PM             EP2DOC1             EP2DOC2              EM2DOC             MBC2DOC             MBC2POC             MBA2MBD             MBD2MBA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
    201801       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201802       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201803       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201804       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201805       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201806       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201807       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201808       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201809       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
    201810       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03       -0.999000E+03
