 Simulation_Period = 20180101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day               kPOC1               kPOC2                kMOC                kDOC                kMBa             kMBa_in                kMBd             kMBd_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE       Balance_Error              TOCbeg              TOCend              TOCinp              TOCout                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
  20180101        0.196958E-05        0.751667E-03        0.487000E-05        0.199071E-02        0.290875E-01        0.864750E-01        0.993000E-03        0.210112E-14        0.672417E-03        0.858375E-03        0.111829E+00        0.239333E-01        0.216417E+00        0.147412E-15        0.915000E+01        0.915000E+01        0.000000E+00        0.113604E-03
  20180102        0.158292E-05        0.623292E-03        0.410583E-05        0.417333E-02        0.193292E-01        0.381875E-01        0.660292E-03        0.448250E-14        0.925667E-03        0.118125E-02        0.740292E-01        0.480917E-01        0.216292E+00        0.858583E-16        0.914875E+01        0.914833E+01        0.000000E+00        0.156625E-03
  20180103        0.129833E-05        0.539292E-03        0.366500E-05        0.596250E-02        0.146417E-01        0.256833E-01        0.499750E-03        0.649167E-14        0.983125E-03        0.125125E-02        0.558292E-01        0.670167E-01        0.213833E+00       -0.237708E-15        0.914000E+01        0.914000E+01        0.000000E+00        0.166833E-03
  20180104        0.109333E-05        0.487625E-03        0.345917E-05        0.751958E-02        0.123500E-01        0.203625E-01        0.421708E-03        0.827625E-14        0.103292E-02        0.131000E-02        0.469667E-01        0.832125E-01        0.211792E+00        0.100750E-15        0.914000E+01        0.914000E+01        0.000000E+00        0.175750E-03
  20180105        0.948667E-06        0.460125E-03        0.341875E-05        0.897625E-02        0.112042E-01        0.177292E-01        0.382333E-03        0.997333E-14        0.110583E-02        0.140042E-02        0.425250E-01        0.981875E-01        0.210833E+00       -0.987958E-16        0.913292E+01        0.913250E+01        0.000000E+00        0.189167E-03
  20180106        0.851208E-06        0.451333E-03        0.350833E-05        0.104083E-01        0.106083E-01        0.163000E-01        0.362208E-03        0.116667E-13        0.120250E-02        0.152292E-02        0.402167E-01        0.112708E+00        0.210000E+00       -0.113292E-16        0.913000E+01        0.913000E+01        0.000000E+00        0.207000E-03
  20180107        0.790875E-06        0.457208E-03        0.369833E-05        0.118667E-01        0.103250E-01        0.154958E-01        0.352292E-03        0.134125E-13        0.132125E-02        0.167208E-02        0.391083E-01        0.127333E+00        0.210000E+00        0.447625E-16        0.912333E+01        0.912292E+01        0.000000E+00        0.228958E-03
  20180108        0.760625E-06        0.475333E-03        0.397333E-05        0.133750E-01        0.102000E-01        0.150417E-01        0.348417E-03        0.152542E-13        0.145875E-02        0.184708E-02        0.386583E-01        0.142292E+00        0.210500E+00        0.599875E-17        0.912000E+01        0.912000E+01        0.000000E+00        0.255167E-03
  20180109        0.755417E-06        0.503750E-03        0.432042E-05        0.149792E-01        0.102000E-01        0.148083E-01        0.348333E-03        0.172208E-13        0.161583E-02        0.204750E-02        0.386458E-01        0.157708E+00        0.211000E+00       -0.413625E-16        0.911042E+01        0.911000E+01        0.000000E+00        0.285417E-03
  20180110        0.771000E-06        0.541083E-03        0.473208E-05        0.166792E-01        0.102750E-01        0.147000E-01        0.350667E-03        0.193417E-13        0.179167E-02        0.227500E-02        0.389250E-01        0.173833E+00        0.211292E+00        0.213417E-16        0.910458E+01        0.910417E+01        0.000000E+00        0.320125E-03
