 Simulation_Period = 20180101 -- 20181231
       Day                         AVG & STDDEV for VAR[1:n]
  20180101            0.001253            0.000817
  20180102            0.004652            0.001089
  20180103            0.008556            0.001156
  20180104            0.012664            0.001218
  20180105            0.017041            0.001311
  20180106            0.021795            0.001435
  20180107            0.027031            0.001589
  20180108            0.032846            0.001770
  20180109            0.039339            0.001980
  20180110            0.046614            0.002221
  20180111            0.054777            0.002493
  20180112            0.063938            0.002797
  20180113            0.074215            0.003136
  20180114            0.085722            0.003508
  20180115            0.098580            0.003914
  20180116            0.112903            0.004353
  20180117            0.128803            0.004823
  20180118            0.146382            0.005321
  20180119            0.165728            0.005842
  20180120            0.186911            0.006380
  20180121            0.209980            0.006928
  20180122            0.234952            0.007477
  20180123            0.261814            0.008017
  20180124            0.290513            0.008536
  20180125            0.320958            0.009022
  20180126            0.353015            0.009464
  20180127            0.386509            0.009849
  20180128            0.421225            0.010168
  20180129            0.456917            0.010411
  20180130            0.493312            0.010572
  20180131            0.530121            0.010650
  20180201            0.567052            0.010643
  20180202            0.603819            0.010556
  20180203            0.640154            0.010395
  20180204            0.675818            0.010170
  20180205            0.710608            0.009892
  20180206            0.744362            0.009574
  20180207            0.776960            0.009228
  20180208            0.808327            0.008865
  20180209            0.838422            0.008496
  20180210            0.867242            0.008130
  20180211            0.894809            0.007774
  20180212            0.921167            0.007433
  20180213            0.946375            0.007111
  20180214            0.970504            0.006810
  20180215            0.993627            0.006532
  20180216            1.015823            0.006275
  20180217            1.037166            0.006040
  20180218            1.057731            0.005826
  20180219            1.077586            0.005630
  20180220            1.096796            0.005453
  20180221            1.115419            0.005292
  20180222            1.133511            0.005146
  20180223            1.151119            0.005013
  20180224            1.168289            0.004893
  20180225            1.185060            0.004783
  20180226            1.201467            0.004683
  20180227            1.217544            0.004592
  20180228            1.233320            0.004509
  20180301            1.248819            0.004433
  20180302            1.264065            0.004363
  20180303            1.279080            0.004299
  20180304            1.293883            0.004240
  20180305            1.308491            0.004186
  20180306            1.322918            0.004137
  20180307            1.337180            0.004091
  20180308            1.351290            0.004049
  20180309            1.365258            0.004010
  20180310            1.379097            0.003973
  20180311            1.392814            0.003940
  20180312            1.406421            0.003909
  20180313            1.419924            0.003880
  20180314            1.433331            0.003854
  20180315            1.446650            0.003829
  20180316            1.459887            0.003807
  20180317            1.473048            0.003785
  20180318            1.486138            0.003766
  20180319            1.499162            0.003748
  20180320            1.512127            0.003731
  20180321            1.525034            0.003715
  20180322            1.537890            0.003701
  20180323            1.550698            0.003687
  20180324            1.563461            0.003675
  20180325            1.576182            0.003664
  20180326            1.588865            0.003653
  20180327            1.601513            0.003643
  20180328            1.614128            0.003634
  20180329            1.626713            0.003626
  20180330            1.639271            0.003618
  20180331            1.651802            0.003611
  20180401            1.664311            0.003604
  20180402            1.676797            0.003598
  20180403            1.689264            0.003593
  20180404            1.701712            0.003588
  20180405            1.714144            0.003583
  20180406            1.726561            0.003579
  20180407            1.738964            0.003575
  20180408            1.751354            0.003572
  20180409            1.763733            0.003569
  20180410            1.776102            0.003566
  20180411            1.788462            0.003564
  20180412            1.800813            0.003561
  20180413            1.813157            0.003559
  20180414            1.825494            0.003558
  20180415            1.837826            0.003556
  20180416            1.850152            0.003555
  20180417            1.862474            0.003553
  20180418            1.874793            0.003552
  20180419            1.887108            0.003552
  20180420            1.899420            0.003551
  20180421            1.911730            0.003550
  20180422            1.924038            0.003550
  20180423            1.936345            0.003549
  20180424            1.948651            0.003549
  20180425            1.960956            0.003549
  20180426            1.973261            0.003549
  20180427            1.985565            0.003549
  20180428            1.997870            0.003549
  20180429            2.010175            0.003549
  20180430            2.022481            0.003549
  20180501            2.034787            0.003550
  20180502            2.047094            0.003550
  20180503            2.059403            0.003550
  20180504            2.071712            0.003551
  20180505            2.084023            0.003551
  20180506            2.096335            0.003551
  20180507            2.108649            0.003552
  20180508            2.120964            0.003552
  20180509            2.133280            0.003553
  20180510            2.145598            0.003553
  20180511            2.157917            0.003553
  20180512            2.170238            0.003554
  20180513            2.182561            0.003554
  20180514            2.194885            0.003555
  20180515            2.207210            0.003555
  20180516            2.219537            0.003556
  20180517            2.231865            0.003556
  20180518            2.244195            0.003556
  20180519            2.256526            0.003557
  20180520            2.268857            0.003557
  20180521            2.281190            0.003557
  20180522            2.293524            0.003558
  20180523            2.305859            0.003558
  20180524            2.318194            0.003558
  20180525            2.330531            0.003558
  20180526            2.342867            0.003558
  20180527            2.355205            0.003558
  20180528            2.367542            0.003558
  20180529            2.379880            0.003558
  20180530            2.392217            0.003558
  20180531            2.404555            0.003558
  20180601            2.416892            0.003558
  20180602            2.429229            0.003558
  20180603            2.441566            0.003558
  20180604            2.453902            0.003558
  20180605            2.466237            0.003558
  20180606            2.478571            0.003557
  20180607            2.490904            0.003557
  20180608            2.503235            0.003557
  20180609            2.515565            0.003556
  20180610            2.527894            0.003556
  20180611            2.540221            0.003555
  20180612            2.552546            0.003554
  20180613            2.564868            0.003554
  20180614            2.577189            0.003553
  20180615            2.589507            0.003552
  20180616            2.601822            0.003552
  20180617            2.614135            0.003551
  20180618            2.626444            0.003550
  20180619            2.638751            0.003549
  20180620            2.651054            0.003548
