 Simulation_Period = 20180101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day                 SOC                POC1                POC2                 MOC                 QOC                 DOC                 MBC                MBCA                MBCD            ENZ_POC1            ENZ_POC2             ENZ_MOC             CO2_TOT              SOC_I1             POC1_I1             POC2_I1              MOC_I1              QOC_I1              DOC_I1              MBC_I1             MBCA_I1             MBCD_I1         ENZ_POC1_I1         ENZ_POC2_I1          ENZ_MOC_I1          CO2_TOT_I1              SOC_I2             POC1_I2             POC2_I2              MOC_I2              QOC_I2              DOC_I2              MBC_I2             MBCA_I2             MBCD_I2         ENZ_POC1_I2         ENZ_POC2_I2          ENZ_MOC_I2          CO2_TOT_I2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
         0           0.888E+01           0.111E+01           0.259E+01           0.513E+01           0.518E-01           0.100E+00           0.170E+00           0.170E-02           0.168E+00           0.300E-03           0.300E-03           0.300E-03           0.000E+00           0.888E+01           0.111E+01           0.259E+01           0.513E+01           0.518E-01           0.100E+00           0.170E+00           0.170E-02           0.168E+00           0.300E-03           0.300E-03           0.300E-03           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
  20180101        0.890208E+01        0.111000E+01        0.256542E+01        0.514042E+01        0.872125E-01        0.759000E-01        0.170292E+00        0.427667E-02        0.166042E+00        0.266542E-03        0.268375E-03        0.269667E-03        0.125382E-02        0.890208E+01        0.111000E+01        0.256542E+01        0.514042E+01        0.872125E-01        0.759000E-01        0.170292E+00        0.427667E-02        0.166042E+00        0.266542E-03        0.268375E-03        0.269667E-03        0.125382E-02        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20180102        0.892625E+01        0.111000E+01        0.252375E+01        0.516042E+01        0.131875E+00        0.484167E-01        0.171292E+00        0.839208E-02        0.162917E+00        0.214250E-03        0.221917E-03        0.227792E-03        0.465125E-02        0.892625E+01        0.111000E+01        0.252375E+01        0.516042E+01        0.131875E+00        0.484167E-01        0.171292E+00        0.839208E-02        0.162917E+00        0.214250E-03        0.221917E-03        0.227792E-03        0.465125E-02        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20180103        0.893000E+01        0.111000E+01        0.248833E+01        0.517667E+01        0.157208E+00        0.360000E-01        0.172375E+00        0.116792E-01        0.160667E+00        0.176000E-03        0.191792E-03        0.204000E-03        0.855292E-02        0.893000E+01        0.111000E+01        0.248833E+01        0.517667E+01        0.157208E+00        0.360000E-01        0.172375E+00        0.116792E-01        0.160667E+00        0.176000E-03        0.191792E-03        0.204000E-03        0.855292E-02        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20180104        0.893000E+01        0.111000E+01        0.245833E+01        0.519292E+01        0.173583E+00        0.301250E-01        0.173500E+00        0.145500E-01        0.158958E+00        0.148625E-03        0.173042E-03        0.192875E-03        0.126583E-01        0.893000E+01        0.111000E+01        0.245833E+01        0.519292E+01        0.173583E+00        0.301250E-01        0.173500E+00        0.145500E-01        0.158958E+00        0.148625E-03        0.173042E-03        0.192875E-03        0.126583E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20180105        0.893000E+01        0.111000E+01        0.243042E+01        0.520542E+01        0.185167E+00        0.271958E-01        0.174667E+00        0.172583E-01        0.157458E+00        0.128958E-03        0.163250E-03        0.191125E-03        0.170500E-01        0.893000E+01        0.111000E+01        0.243042E+01        0.520542E+01        0.185167E+00        0.271958E-01        0.174667E+00        0.172583E-01        0.157458E+00        0.128958E-03        0.163250E-03        0.191125E-03        0.170500E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20180106        0.892875E+01        0.111000E+01        0.240417E+01        0.521792E+01        0.194167E+00        0.257083E-01        0.176000E+00        0.199542E-01        0.156083E+00        0.115875E-03        0.160000E-03        0.196292E-03        0.217917E-01        0.892875E+01        0.111000E+01        0.240417E+01        0.521792E+01        0.194167E+00        0.257083E-01        0.176000E+00        0.199542E-01        0.156083E+00        0.115875E-03        0.160000E-03        0.196292E-03        0.217917E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20180107        0.892000E+01        0.111000E+01        0.237875E+01        0.523125E+01        0.201792E+00        0.249833E-01        0.177458E+00        0.227042E-01        0.154667E+00        0.107792E-03        0.161708E-03        0.207208E-03        0.270333E-01        0.892000E+01        0.111000E+01        0.237875E+01        0.523125E+01        0.201792E+00        0.249833E-01        0.177458E+00        0.227042E-01        0.154667E+00        0.107792E-03        0.161708E-03        0.207208E-03        0.270333E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20180108        0.891333E+01        0.111000E+01        0.235125E+01        0.524417E+01        0.208375E+00        0.247167E-01        0.179000E+00        0.255833E-01        0.153458E+00        0.103792E-03        0.167917E-03        0.222625E-03        0.328417E-01        0.891333E+01        0.111000E+01        0.235125E+01        0.524417E+01        0.208375E+00        0.247167E-01        0.179000E+00        0.255833E-01        0.153458E+00        0.103792E-03        0.167917E-03        0.222625E-03        0.328417E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20180109        0.890583E+01        0.111000E+01        0.232458E+01        0.525625E+01        0.214333E+00        0.247167E-01        0.180792E+00        0.286417E-01        0.152208E+00        0.103208E-03        0.177500E-03        0.242208E-03        0.393458E-01        0.890583E+01        0.111000E+01        0.232458E+01        0.525625E+01        0.214333E+00        0.247167E-01        0.180792E+00        0.286417E-01        0.152208E+00        0.103208E-03        0.177500E-03        0.242208E-03        0.393458E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
